id,cefr_level,word,plwords
1,A1,the,pod;która;przy;przed;te
2,A1,of,stąd;wszystkich;życia;nich;was
3,A1,and,potem;razem;które;je;nim
4,A1,to,porozmawiać;Musisz;Musimy;musisz;muszę
5,A1,in,świecie;we;pokoju;moim;przed
6,A1,a,jako;kilka;Jesteś;temu;niż
7,A1,is,dzieje;Gdzie;ta;chodzi;moja
8,A1,that,ta;która;które;wiesz;była
9,A1,for,chwilę;Dzięki;Dziękuję;niego;siebie
10,A1,as,równie;najszybciej;możliwe;ile;szybko
11,A1,it,chodzi;prawda;je;była;nim
12,A1,with,wspólnego;nimi;nami;sobą;nią
13,A1,be,bądź;byłoby;Będzie;Będę;zostać
14,A1,on,Dalej;drodze;stronie;spokój;Daj
15,A1,by,okazji;została;został;sam;pod
16,A1,was,Byłam;Była;Byłem;byłam;Był
17,A1,not,ani;chodzi;jesteśmy;Dlaczego;prawda
18,A1,or,Albo;ani;lub;dwa;bez
19,A1,this,rano;tą;tę;ta;miejsce
20,A1,are,Kim;jesteście;Są;Jesteśmy;oni
21,A1,i,Mogę;muszę;Przepraszam;będę;Ja
22,A1,at,Popatrz;00;przynajmniej;Spójrz;nocy
23,A1,from,pochodzi;dala;ode;skąd;Skąd
24,A1,he,Powiedział;zrobił;robi;chciał;mógł
25,A1,which,czyli;której;oznacza;których;którym
26,A1,an,godzinę;pomysł;godziny;wypadek;mieć
27,A1,have,musiał;Musisz;mają;musimy;Mamy
28,A1,his,swoich;Jego;swój;swojej;swoim
29,A1,but,lecz;muszę;Przepraszam;trochę;nigdy
30,A1,you,Dziękuję;musisz;robisz;was;będziesz
31,A1,were,Byłaś;Byliśmy;Byłeś;Miałeś;byłaś
32,A1,we,robimy;zrobimy;chcemy;powinniśmy;wiemy
33,A1,they,one;wiedzą;robią;mówią;chcą
34,A1,had,Musiałem;musiałem;Mieliśmy;Miałam;Miał
35,A1,all,całą;noc;Wszyscy;wszystkim;tyle
36,A1,has,Musi;wspólnego;Ma;został;Ten
37,A1,one,jednej;jedna;jednym;jedno;jednego
38,A1,their,Ich;swojej;swój;Ludzie;swojego
39,A2,been,byłeś;została;odkąd;byłam;ostatnio
40,A2,will,zrobię;zostanie;Będzie;Będę;będą
41,A1,can,uwierzyć;Możemy;mogą;Możesz;Mogę
42,A1,there,Tam;jakieś;jakiś;ktoś;więcej
43,A1,other,druga;drugiego;innymi;drugą;drugi
44,A1,if,gdybyś;jeżeli;gdybym;gdyby;Nawet
45,A1,would,miałby;byłby;Gdybym;gdybym;Gdyby
46,A1,her,Jej;miała;Ona;niej;swoje
47,A1,may,Być;Możesz;mogą;Mogę;lub
48,A1,when,byłem;Gdy;wtedy;miał;będziesz
49,A1,its,drodze;swoich;swojej;swój;swojego
50,A1,no,żadnej;żadnego;nikogo;no;wyboru
51,A1,these,tymi;Te;takich;lata;oni
52,A1,new,Nowa;Nowe;nowej;Nowy;nowym
53,A1,she,Powiedziała;zrobiła;chciała;mogła;powiedziała
54,A2,such,takiej;taką;takich;takim;czegoś
55,A1,who,kogo;kim;Kto;którzy;wiedzieć
56,A1,than,Bardziej;lepszy;lepsze;ode;ponad
57,A1,any,każdej;żadnej;sensu;żadnego;chwili
58,A1,time,Następnym;Tym;Czas;dawno;ostatni
59,A1,do,rób;robimy;zrobimy;wspólnego;zrobisz
60,A1,what,myśli;robić;wie;dzieje;czego
61,A1,some,niektóre;niektórzy;pewne;jakimś;jakaś
62,A1,also,Też;także;również;jako;która
63,A1,about,Chodzi;temat;rozmawiać;tobie;porozmawiać
64,A1,only,jedyne;jedyna;jedyny;jedynym;jedyną
65,A1,into,miasta;pokoju;potem;mojego;niego
66,A1,out,wyjść;dowiedzieć;Musimy;stąd;kto
67,A1,two,dwaj;dwoma;dwoje;Wy;minuty
68,A1,my,moich;ojca;swoje;ojciec;życia
69,A1,them,nimi;Niech;Powiedz;oni;wszystkie
70,A2,so,przykro;Bardzo;taka;szybko;mógł
71,A1,him,Niech;Powiedz;zabić;niego;aby
72,A1,first,pierwszych;Pierwsza;Pierwszy;pierwszego;pierwsza
73,A2,said,Mówiłaś;Mówiłeś;Mówił;Powiedziałeś;Powiedziałam
74,A1,see,Zobaczmy;Widziałeś;Zobaczymy;zobaczysz;zobaczymy
75,A1,our,naszymi;nasi;nasza;naszą;naszym
76,A1,under,łóżkiem;poniżej;wpływem;aresztowana;presją
77,A1,should,Powinien;Powinnam;powinni;Powinnaś;Powinienem
78,A1,up,Wstawaj;górę;góry;Zamknij;Kiedy
79,A2,state,stanowe;stanem;stanowym;stanowego;Stanu
80,A2,made,Zrobiłam;Udało;Zrobiłem;zrobiła;udało
81,A1,could,Mógłbym;mogłeś;mogło;moglibyśmy;mógłbyś
82,A1,after,latach;zaraz;śmierci;wszystkim;później
83,B1,more,Im;coraz;Jeszcze;jedno;jeden
84,A1,then,Najpierw;Potem;Wtedy;takim;razie
85,A1,between,miedzy;Między;zaszło;dwoma;wami
86,A1,your,twoich;swoich;swojej;swój;swoim
87,A1,me,ode;żebym;Daj;Powiedz;Chcesz
88,A1,over,Koniec;skończy;ponad;całym;koniec
89,A1,work,zadziała;pracą;Pracuję;pracujesz;pracuję
90,A1,where,dokąd;Dokąd;idziesz;Tam;skąd
91,A1,each,znacie;wzajemnie;każde;każda;każdą
92,A1,more,Im;coraz;Jeszcze;jedno;jeden
93,A1,year,rocznie;Rok;porze;przyszłym;rok
94,A1,did,Zrobiłem;zrobili;zrobiłam;zrobiłaś;zrobiła
95,A1,s,dzieje;Gdzie;On;chodzi;właśnie
96,A1,now,natychmiast;chwili;razie;Od;iść
97,A1,years,latach;ostatnich;40;25;Dwa
98,A1,those,tymi;Te;były;których;mają
99,A1,many,Ilu;ilu;tylu;Zbyt;Tyle
100,A1,through,przechodzić;przeszła;przechodzi;poprzez;przejść
101,A2,shall,zostanie;Będę;powinniśmy;będą;będziemy
102,A1,like,Podoba;Lubię;lubisz;podoba;lubię
103,A1,well,cóż;no;również;Bardzo;zbyt
104,A1,same,samych;samą;samej;same;sami
105,A1,must,Musiał;musiało;muszą;musiała;Musi
106,A1,very,strony;dziękuję;przykro;ważne;dobre
107,A1,because,Ponieważ;ponieważ;powodu;dlatego;znaczy
108,A2,used,przyzwyczaić;użyte;użył;Kiedyś;byłam
109,A1,before,przedtem;śmiercią;Zanim;widziałem;kiedyś
110,A1,people,Niektórzy;ludźmi;ludziom;osoby;osób
111,B1,general,generałem;generał;generała;ogólne;ogólny
112,A1,how,skąd;czujesz;działa;jakie;jaki
113,A1,being,byciu;będąc;bycia;bycie;jako
114,B1,states,stanach;stanów;stany;stwierdza;stanowi
115,A2,part,rolę;udział;planu;częścią;części
116,A2,during,trakcie;Podczas;operacji;ataku;wojny
117,A2,even,chociaż;ogóle;Nawet;wie;bardziej
118,A1,both,obydwoje;obojga;oba;zarówno;Obaj
119,A1,number,Zasada;seryjny;liczbę;numerem;liczba
120,A2,system,organizmie;układzie;System;systemem;układu
121,A1,much,znacznie;Tyle;dziękuję;Ile;kocham
122,A1,case,wszelki;Sprawa;przypadek;sprawą;przypadku
123,B1,per,per;kwadratowy;tygodniowo;rocznie;wynosi
124,A1,way,Tędy;tędy;sposobem;mowy;wyjście
125,A1,three,troje;trójkę;trójka;trzema;minuty
126,A2,upon,Dawno;Pewnego;dawno;razu;zależy
127,A1,make,upewnić;sensu;robić;Chcę;mieć
128,A1,section,sekcji;sekcja;sekcję;sekcją;paragraf
129,A1,life,Życie;życiem;Moje;resztę;końca
130,A2,however,jednakże;jakkolwiek;Jednakże;Jednak;choć
131,A1,p,p;kwadratu;pensów;P;południu
132,A2,government,rządowym;rządową;rządowy;rządowej;rządowego
133,A1,water,Wody;Woda;wodzie;woda;wodą
134,A1,day,Miłego;Codziennie;dziennie;Pewnego;dniu
135,A2,most,najwięcej;Najbardziej;większości;najważniejsze;Większość
136,A1,high,haju;wysokich;wysokim;wysoką;wysoka
137,A2,law,ścigania;prawu;Prawo;użyte;prawem
138,A1,just,Właśnie;Tylko;właśnie;Chcę;prostu
139,B2,united,zjednoczeni;zjednoczone;zjednoczony;zjednoczył;zjednoczą
140,A1,man,mężczyzny;mężczyznę;Człowiek;mężczyzną;człowieku
141,A1,order,zbliżania;zamówienie;zamówić;kolejności;zakaz
142,A2,act,aktem;czyn;zachowuj;aktu;Zachowujesz
143,A2,without,beze;zgody;wiedzy;Bez;pomocy
144,A1,world,światu;Świat;światem;całego;całym
145,A1,us,żebyśmy;między;nami;nasze;my
146,A1,does,znaczenie;Jakie;zrobi;wspólnego;działa
147,A2,court,dworu;sądowi;dwór;dworze;boisku
148,A1,good,Dobre;dobrej;dobrych;dobrego;Dobry
149,A2,use,używam;używają;korzystać;przyda;używa
150,A2,while,póki;Trochę;jakiegoś;Przez;czasie
151,B1,service,nabożeństwo;obsługa;serwis;obsługę;usług
152,A1,great,wspaniałym;świetnym;świetną;wspaniała;świetna
153,A2,within,granicach;obrębie;promieniu;przeciągu;wewnątrz
154,A2,national,narodowy;hymn;krajową;narodowych;narodową
155,A1,c,ca;est;c;00ccff;daj
156,A1,information,informacja;informacjami;informację;informacji;informacje
157,A2,company,towarzystwo;towarzystwa;Firma;firmą;towarzystwie
158,A1,here,Tutaj;Tu;Chodź;zostać;dzieje
159,B2,found,Znalazłeś;znaleziony;znalazłaś;Znaleźli;Znalazłam
160,A2,against,niemu;wbrew;woli;przeciw;ścianę
161,A2,given,Dałem;Biorąc;dałeś;dałem;biorąc
162,A1,own,własnych;własny;własnym;własnego;własnej
163,A1,know,Znasz;Znam;znasz;znać;znam
164,B1,development,rozwoju;rozwój;Rozwój;postęp;budowy
165,A1,another,kolejnej;kolejna;kolejnego;kolejną;inna
166,A2,power,Moc;władza;zasilanie;zasilania;mocą
167,A2,since,minęło;tamtego;czasów;tamtej;pory
168,A1,back,Wrócę;wracaj;Wracaj;wróciła;wracam
169,A1,b,b;x;równa;c;n
170,B2,data,Dane;danymi;dane;danych;komputera
171,A1,school,szkołą;Szkoła;szkoła;szkołę;średniej
172,A2,university,uniwersytet;uniwersytecie;uniwersytetu;Uniwersytet;uniwersyteckim
173,A1,american,amerykański;amerykańscy;amerykańska;Amerykanką;amerykańskie
174,A1,take,Wezmę;wezmę;weź;zajmie;zająć
175,A1,small,Małe;Mały;małych;małej;małego
176,B1,total,totalny;totalnym;totalną;totalna;całkowitym
177,A1,different,różni;inna;zmieniło;różnych;inną
178,A1,large,dużych;dużej;dużego;dużym;wielkich
179,A1,house,domku;Dom;domem;dom;nasz
180,A2,research,badaniami;badawczy;badaniach;Badania;badań
181,A2,less,mniejsze;niecałe;Mniej;Im;coraz
182,A1,york,nowojorskim;nowojorskiego;Jorkiem;NY;Times
183,A1,city,miastu;Miasto;miastem;City;miasto
184,A2,might,Pomyślałem;mógłby;mogą;Możesz;mógł
185,A1,little,małej;małego;małym;małą;mała
186,A1,business,biznesie;biznesu;interesach;branży;interesu
187,A2,still,Ciągle;Wciąż;Nadal;ciągle;Jeszcze
