id,cefr_level,word,wordpl
1,A1,the,"wystarczać, właściwy, za, na"
2,A1,of,"z, z powodu, pod, na, w, wiek, za, bez, o"
3,A1,and,"i, a, potem, coraz"
4,A1,to,"do, na, w, po, dla, za, od, niż, z, tym, ku, przy, według, żeby, aby, by"
5,A1,in,"w, na, do, wnętrze, środek, w ciągu, za, po, z, spośród, dziedzina, wewnątrz, wpływy, władza, pozycja, ktoś, wpływowy, stan"
6,A1,a,"jeden, jakiś, pewien"
7,A1,is,jest
8,A1,that,"tamten, ten, ta, to, oto, który, że, iż, tak"
9,A1,for,"dla, za, w, strona, przez, z powodu, reprezentować, symbolizować, ponieważ, bo"
10,A1,it,"to, on, ona, ono, tu, koniec, berek, szukający, jego, swój, kastrat"
11,A1,with,"z, przez"
12,A1,on,"na, o, w, z, na koszt, pod, zaraz, po, włączony, zgodny, plan, rozpocząć, aby, włączyć, dalej, naprzód, za, później"
13,A1,by,"przez, przy, obok, w, pobliże, podczas, do, przed, po, za, na, według, gdzieś, tu, tam, później"
14,A1,not,"nie, a"
15,A1,or,"lub, albo, ani, czy, bo, kolor, złoty"
16,A1,this,"ten, ta, to, taki, tak"
17,A1,at,"przy, na, w, u, o, dla, do, z, za, stan, wiek, znak, @"
18,A1,from,"od, z, powód, w, wynik, na, przed"
19,A1,he,on
20,A1,which,"który, co"
21,A1,an,"jakiś, pewien"
22,A1,have,"mieć, zawierać, charakteryzować się, otrzymać, wziąć, poczęstować się, wydać, polecenie, niech, odzyskać, obfitować"
23,A1,his,"jego, swój"
24,A1,but,"ale, oprócz, tylko, zaledwie"
25,A1,you,"ty, pan, pani, wy, państwo, twój, swój, wasz"
26,A1,we,my
27,A1,they,"oni, one"
28,A1,all,"wszyscy, wszystkie, cały, wszystko, całkowicie, zupełnie"
29,A1,one,"jeden, jedynka, banknot, jednodolarowy, pierścień, ktoś, lub, coś, dobrze pasować, wyjątkowy"
30,A1,their,"ich, swój"
31,A2,will,"chcieć, wola, testament"
32,A1,can,"móc, umieć, potrafić, wiedzieć"
33,A1,there,tam
34,A1,other,"inny, drugi, ktoś"
35,A1,if,"jeśli, gdyby, nawet, czy, choć, chociaż, warunek, wątpliwość, niepewność"
36,A1,would,"by, chcieć, woleć"
37,A1,her,"jej, swój, ona, ją"
38,A1,may,"móc, oby, niech, być w stanie"
39,A1,when,"kiedy, wtedy, gdy, gdy tylko, czas"
40,A1,no,"nie, ani trochę, żadną miarą, żaden, zakaz, brak, odmowa, głos"
41,A1,these,"ci, te, te"
42,A1,new,nowy
43,A1,she,ona
44,A2,such,taki
45,A1,who,"kto, który"
46,A1,than,"niż, od"
47,A1,any,"jakiś, jakikolwiek, którykolwiek, każdy, choć, trochę, jeszcze"
48,A1,time,"czas, okres, moment, chwila, raz, takt, czasowy, mierzyć, trwanie"
49,A1,do,"robić, wystarczać, nadawać się"
50,A1,what,"co, jaki, kto, dlaczego, to, cóż"
51,A1,some,"trochę, kilka, niektóry"
52,A1,also,"też, także, również"
53,A1,about,"o, z, ze, przy, po, ku, około, dookoła, w trakcie, wokół"
54,A1,only,"tylko, jedynie, jedyny"
55,A1,into,"do, w, na"
56,A1,out,"na zewnątrz, z, ze, zewnętrzny, wypuścić, poza, dom, wyjście, ujawnić"
57,A1,two,"dwa, dwójka, banknot, dwudolarowy, dwulatek"
58,A1,my,"mój, swój, o rany, ojej"
59,A1,them,"ich, nich, im, nimi, siebie, sobie"
60,A2,so,"tak, więc, zatem, aby, żeby"
61,A1,him,"jego, go, on, mu, nim"
62,A1,first,"pierwszy, po pierwsze, najpierw"
63,A2,said,"powiedziany, wspomniany"
64,A1,see,"widzieć, zobaczyć, ujrzeć, zauważyć, spostrzec, rozumieć, odwiedzać"
65,A1,our,"nasz, swój"
66,A1,under,"pod, poniżej, mniej niż"
67,A1,should,"powinien, należy"
68,A1,up,"do góry, w górę, wzwyż, kompletnie"
69,A2,state,"stan, państwo, pompa, stanowisko, twierdzić, ogłosić"
70,A2,made,"wykonać, uczynić"
71,A1,could,"móc, umieć, potrafić"
72,A1,after,"po, za, potem, późno, późny, zanim, nim"
73,B1,more,"więcej, bardzo, -szy, jeszcze"
74,A1,then,"wtedy, wówczas, potem, następnie, dodatkowo"
75,A1,between,"między, pomiędzy"
76,A1,your,"twój, swój, pani, pan, wasz, państwo"
77,A1,me,"ja, mnie, sobą, sobie"
78,A1,over,"nad, na, przez, po, za, ponad, przekraczać, podczas, przy"
79,A1,work,"pracować, funkcjonować, dzieło, praca"
80,A1,where,"gdzie, dokąd, podczas gdy"
81,A1,each,"każdy, pojedynczy"
82,A1,year,rok
83,A1,now,"teraz, no, więc"
84,A1,those,"tamci, tamte"
85,A1,many,"wiele, dużo, liczna"
86,A1,through,"przez, poprzez, dzięki, w czasie, po"
87,A2,shall,"powinien, musieć"
88,A1,like,"jak, podobny, lubić, chciać, na przykład"
89,A1,well,"dobrze, studnia, więc, no"
90,A1,same,"taki sam, ten sam, to samo"
91,A1,must,"musieć, konieczność"
92,A1,very,"bardzo, rzeczywiście"
93,A1,because,"ponieważ, bo, gdyż, z powodu"
94,A2,used,"używany, już wcześniej"
95,A1,before,"przed, wcześniej, zanim, nim"
96,A1,people,ludzie
97,B1,general,"powszechny, ogólny"
98,A1,how,"jak, ile, dlaczego"
99,A2,part,"część, porcja, rola, udział"
100,A2,during,"podczas, w trakcie"
101,A2,even,"równy, płaski, stały, niezmienny, sprawiedliwy, parzysty, nawet, dokładnie, wyrównać"
102,A1,both,"obaj, oboje, obie, oba"
103,A1,number,"liczba, numer, pewien, ilość, wiele, numerować, liczyć, ileś"
104,A2,system,system
105,A1,much,"dużo, wiele, bardzo, o wiele"
106,A1,case,"pudełko, skrzynia, sprawa, przypadek, futerał, pokrowiec, walizka, teczka, litera, pakować"
107,B1,per,"na, od, zgodnie z"
108,A1,way,"droga, szlak, kierunek, przejście, przejazd, podróż, sposób, postępowanie, zwyczaj, bardzo, dalece, zdecydowanie"
109,A1,three,"trzy, 3, trójka, troje, trzylatek, trzylatka"
110,A2,upon,"na, po, wobec, przy, na podstawie"
111,A1,section,"sekcja, część, dział, odcinek, fragment, paragraf, wycinek, cząstka, przekrój, ciąć, pociąć"
112,A1,life,"życie, trwałość, żywotność"
113,A2,however,"ale, jednakże, mimo to, jakkolwiek"
114,A2,government,"rząd, administracja, władze"
115,A1,water,"woda, podlewać, polewać, wodny"
116,A1,day,"dzień, doba, dniówka, okres"
117,A2,most,"większość, najbardziej, bardzo"
118,A1,high,"wysoki, wysoko"
119,A2,law,"prawo, reguła"
120,A1,just,"tylko, właśnie, dopiero co, sprawiedliwy, rzetelny, właściwy"
121,B2,united,"zjednoczony, zgodny, jednolity"
122,A1,man,"mężczyzna, człowiek, osoba, pionek, kumpel"
123,A1,order,"zamówienie, rozkaz, porządek, zakon, klasa, kolejność, zamawiać, rozkazywać, porządkować"
124,A2,act,"akt, czyn, ustawa, proces, tok, dekret, część opery, grać, udawać, zachowywać się, działać, reprezentować, przynosić, wpływać, służyć jako"
125,A2,without,"bez, nie mając, pozbawiony"
126,A1,world,świat
127,A1,us,"nas, nam, nami"
128,A2,court,"sąd, dwór, kort, zalecać się"
129,A1,good,"dobro, pożytek, dobry, właściwy, korzystny, uczciwy, grzeczny, smaczny, dobrze"
130,A2,while,"podczas gdy, w trakcie, dopóki, póki, choć, jakkolwiek"
131,B1,service,"usługa, przysługa, obsługa, służba, serwis, nabożeństwo, obsługiwać, konserwować, naprawiać"
132,A1,great,"wielki, świetny, wspaniały, świetnie, wspaniale"
133,A2,within,"w, w obrębie, w granicach, w promieniu, wewnątrz, w ramach"
134,A2,national,"narodowy, państwowy"
135,A1,information,"informacja, zawiadomienie"
136,A2,company,"towarzystwo, spółka, firma, kompania"
137,A1,here,"tu, tutaj, oto"
138,B2,found,"zakładać, założyć, fundować, ufundować"
139,A2,against,"przeciwko, wbrew, na wypadek"
140,A2,given,"dany, zakładając, biorąc pod uwagę"
141,A1,own,"własny, posiadać, przyznać się"
142,A1,know,"wiedzieć, znać, pamiętać, rozumieć, doświadczać, wiedza"
143,B1,development,"rozwój, zagospodarowanie, wywoływanie"
144,A1,another,"kolejny, następny, dodatkowy, inny, drugi, nowy"
145,A2,power,"władza, moc, zasilanie, potęga, wpływ, mocarstwo, napędzać"
146,A2,since,"odkąd, ponieważ, skoro, od, odtąd"
147,A1,back,"plecy, tył, grzbiet, obrońca, oparcie, zawracać, wspierać, tylny"
148,B2,data,dane
149,A1,school,"szkoła, ławica, więzienie, szkolić, trenować, dawać szkołę, kształcić, wykazywać wyższość"
150,A2,university,uniwersytet
151,A1,american,"Amerykanin, Amerykanka, amerykański"
152,A1,take,"wziąć, chwycić, łapać, zabrać, przyjąć, użyć, spożywać, przejąć, odjąć"
153,A1,small,"mały, niewielki"
154,B1,total,"suma, całkowity, ogólny, kompletny, dodawać, sumować, obliczać, wynosić"
155,A1,different,"inny, odmienny, różny"
156,A1,large,"duży, ogromny, obszerny, liczny"
157,A1,house,"dom, budynek, izba, firma, ród, muzyka house"
158,A2,research,"badanie, naukowy, badawczy, śledztwo, badać, dociekać"
159,A2,less,"mniej, mniejszy, bez, chyba że"
160,A1,city,"miasto, metropolia"
161,A2,might,"móc, mógłby, może, możliwy"
162,A1,little,"mały, mało, niewiele"
163,A1,business,"biznes, interes, sprawa, firma, przedsiębiorstwo, biznesowy"
164,A2,still,"wciąż, ciągle, nadal, jeszcze, mimo to, nieruchomy, stały, niegazowany"
165,A1,men,"mężczyźni, ludzie"
166,A1,get,"dostać, otrzymać, stać się, rozumieć, zdobyć, zarobić, dotrzeć, odebrać, przynieść"
167,A1,every,każdy
168,A1,social,"społeczny, socjalny, stadny, gromadny, towarzyski"
169,A1,place,"miejsce, lokal, umieszczać, kłaść, określić, umiejscowić"
170,A2,committee,"komitet, komisja"
171,A1,too,"za, zbyt, nadmiernie, strasznie, nad wyraz, bardzo, także"
172,A2,area,"obszar, rejon, dziedzina, pole, powierzchnia"
173,A1,group,"grupa, grupować"
174,A1,point,"punkt, sedno, istota, rzecz, kropka, celować, wskazywać"
