front_image,back_text
ag.svg,Antigua i Barbuda
ai.svg,Anguilla
aw.svg,Aruba
bb.svg,Barbados
bl.svg,Saint-Barthélemy
bm.svg,Bermudy
bq.svg,Karaiby Niderlandzkie
bs.svg,Bahamy
ca.svg,Kanada
cr.svg,Kostaryka
cu.svg,Kuba
dm.svg,Dominika
do.svg,Dominikana
gd.svg,Grenada
gg.svg,Guernsey
gl.svg,Grenlandia
gp.svg,Gwadelupa
gt.svg,Gwatemala
hn.svg,Honduras
ht.svg,Haiti
im.svg,Wyspa Man
je.svg,Jersey
jm.svg,Jamajka
kn.svg,Saint Kitts i Nevis
ky.svg,Kajmany
lc.svg,Saint Lucia
mf.svg,Saint-Martin
mq.svg,Martynika
ms.svg,Montserrat
mx.svg,Meksyk
ni.svg,Nikaragua
pa.svg,Panama
pm.svg,Saint-Pierre i Miquelon
pr.svg,Portoryko
sv.svg,Salwador
sx.svg,Sint Maarten
tc.svg,Turks i Caicos
us.svg,Stany Zjednoczone
vc.svg,Saint Vincent i Grenadyny
vg.svg,Brytyjskie Wyspy Dziewicze
vi.svg,Wyspy Dziewicze Stanów Zjednoczonych
ar.svg,Argentyna
bo.svg,Boliwia
br.svg,Brazylia
cl.svg,Chile
co.svg,Kolumbia
ec.svg,Ekwador
fk.svg,Falklandy
gf.svg,Gujana Francuska
gs.svg,Georgia Południowa i Sandwich Południowy
gy.svg,Gujana
pe.svg,Peru
py.svg,Paragwaj
sr.svg,Surinam
uy.svg,Urugwaj
ve.svg,Wenezuela
