external_id,front_text,back_text
0001,will,"chcieć, wola, testament, będzie"
0002,such,taki
0003,so,"tak, więc, zatem, aby, żeby"
0004,said,"powiedział ,powiedziany, wspomniany"
0005,state,"stan, państwo, pompa, stanowisko, twierdzić, ogłosić"
0006,made,"wykonany ,wykonać, uczynić"
0007,shall,"powinien, musieć"
0008,used,"używany, już wcześniej"
0009,part,"część, porcja, rola, udział"
0010,during,"podczas, w trakcie"
0011,even,"równy, płaski, stały, niezmienny, sprawiedliwy, parzysty, nawet, dokładnie, wyrównać"
0012,system,system
0013,upon,"na, po, wobec, przy, na podstawie"
0014,however,"jednak ,ale, jednakże, mimo to, jakkolwiek"
0015,government,"rząd, administracja, władze"
0016,most,"większość, najbardziej, bardzo"
0017,law,"prawo, reguła"
0018,act,"akt, czyn, ustawa, proces, tok, dekret, część opery, grać, udawać, zachowywać się, działać, reprezentować, przynosić, wpływać, służyć jako"
0019,without,"bez, nie mając, pozbawiony"
0020,court,"sąd, dwór, kort, zalecać się"
0021,while,"podczas gdy, w trakcie, dopóki, póki, choć, jakkolwiek"
0022,within,"w, w obrębie, w granicach, w promieniu, wewnątrz, w ramach"
0023,national,"narodowy, państwowy, krajowy"
0024,company,"towarzystwo, spółka, firma, kompania"
0025,against,"przeciw, przeciwko, wbrew, na wypadek"
0026,given,"dany, zakładając, biorąc pod uwagę"
0027,power,"władza, moc, zasilanie, potęga, wpływ, mocarstwo, napędzać"
0028,since,"odkąd, ponieważ, skoro, od, odtąd"
0029,university,uniwersytet
0030,research,"badanie, naukowy, badawczy, śledztwo, badać, dociekać, badania"
0031,less,"mniej, mniejszy, bez, chyba że"
0032,might,"móc, mógłby, może, możliwy"
0033,still,"wciąż, ciągle, nadal, jeszcze, mimo to, nieruchomy, stały, niegazowany"
0034,committee,"komitet, komisja"
0035,area,"obszar, rejon, dziedzina, pole, powierzchnia"
0036,last,"ostatni, zeszły, poprzedni, ubiegły, ostatnio"
0037,fact,"fakt, okoliczność"
0038,value,"wartość, zaleta, cenić, szacować, oszacowywać, wyceniać"
0039,control,"władza, panowanie, nadzór, wpływ, kontrola, przełącznik, pokrętło, sterować, rządzić, kierować, regulować, kontrolować, opanowywać"
0040,education,"edukacja, oświata, szkolnictwo, kształcenie, nauczanie, wykształcenie, pedagogika, edukacyjny, oświatowy"
0041,report,"raport, raportować, donosić, meldować"
0042,interest,"zainteresowanie, zaciekawienie, troska, udział, odsetki, wzbudzać"
0043,few,"kilka ,mało, niewiele, kilku, niedużo"
