type,front_text,back_text
traditional,hey,hej
traditional,hi,cześć
traditional,hello,witaj
traditional,welcome,witaj
traditional,goodbye,pa
traditional,bye,pa
traditional,morning,rano
traditional,evening,wieczór
traditional,night,noc
traditional,greetings,pozdrowienia
traditional,cheers,na zdrowie
traditional,thanks,dzięki
traditional,please,proszę
traditional,sorry,przepraszam
traditional,pardon,wybacz
traditional,please,proszę
traditional,thankyou,dziękuję
traditional,thanks,dzięki
traditional,sorry,przepraszam
traditional,excuse,wybacz
traditional,welcome,proszę
traditional,sir,pan
traditional,madam,pani
traditional,miss,panno
traditional,mister,pan
traditional,kind,życzliwy
traditional,polite,uprzejmy
traditional,respect,szacunek
traditional,help,pomoc
traditional,issue,problem
traditional,understand,rozumieć
traditional,repeat,powtórzyć
traditional,again,ponownie
traditional,slower,wolniej
traditional,fast,szybko
traditional,word,słowo
traditional,sentence,zdanie
traditional,meaning,znaczenie
traditional,explain,wyjaśnić
traditional,translate,tłumaczyć
traditional,spell,literować
traditional,write,napisać
traditional,listen,słuchać
traditional,speak,mówić
traditional,pronunciation,wymowa
traditional,what,co
traditional,where,gdzie
traditional,when,kiedy
traditional,who,kto
traditional,why,dlaczego
traditional,how,jak
traditional,which,który
traditional,whose,czyj
traditional,maybe,może
traditional,either,którykolwiek
traditional,many,wiele
traditional,much,dużo
traditional,few,kilka
traditional,every,każdy
traditional,some,trochę
traditional,name,imię
traditional,surname,nazwisko
traditional,age,wiek
traditional,country,kraj
traditional,city,miasto
traditional,language,język
traditional,job,praca
traditional,student,student
traditional,from,z
traditional,live,mieszkać
traditional,work,pracować
traditional,study,uczyć się
traditional,hobby,hobby
traditional,friend,przyjaciel
traditional,nice,miły
traditional,zero,zero
traditional,one,jeden
traditional,two,dwa
traditional,three,trzy
traditional,four,cztery
traditional,five,pięć
traditional,six,sześć
traditional,seven,siedem
traditional,eight,osiem
traditional,nine,dziewięć
traditional,ten,dziesięć
traditional,eleven,jedenaście
traditional,twelve,dwanaście
traditional,thirteen,trzynaście
traditional,fourteen,czternaście
traditional,fifteen,piętnaście
traditional,sixteen,szesnaście
traditional,seventeen,siedemnaście
traditional,eighteen,osiemnaście
traditional,nineteen,dziewiętnaście
traditional,twenty,dwadzieścia
traditional,thirty,trzydzieści
traditional,forty,czterdzieści
traditional,fifty,pięćdziesiąt
traditional,sixty,sześćdziesiąt
traditional,seventy,siedemdziesiąt
traditional,eighty,osiemdziesiąt
traditional,ninety,dziewięćdziesiąt
traditional,hundred,sto
traditional,thousand,tysiąc
traditional,price,cena
traditional,cost,koszt
traditional,cheap,tani
traditional,expensive,drogi
traditional,discount,zniżka
traditional,sale,wyprzedaż
traditional,total,razem
traditional,change,reszta
traditional,receipt,paragon
traditional,cash,gotówka
traditional,card,karta
traditional,time,czas
traditional,hour,godzina
traditional,minute,minuta
traditional,second,sekunda
traditional,now,teraz
traditional,later,później
traditional,early,wcześnie
traditional,late,późno
traditional,today,dziś
traditional,tomorrow,jutro
traditional,yesterday,wczoraj
traditional,before,przed
traditional,after,po
traditional,soon,wkrótce
traditional,delay,opóźnienie
traditional,monday,poniedziałek
traditional,tuesday,wtorek
traditional,wednesday,środa
traditional,thursday,czwartek
traditional,friday,piątek
traditional,saturday,sobota
traditional,sunday,niedziela
traditional,january,styczeń
traditional,february,luty
traditional,march,marzec
traditional,april,kwiecień
traditional,may,maj
traditional,june,czerwiec
traditional,july,lipiec
traditional,august,sierpień
traditional,september,wrzesień
traditional,october,październik
traditional,november,listopad
traditional,december,grudzień
traditional,date,data
traditional,year,rok
traditional,month,miesiąc
traditional,week,tydzień
traditional,day,dzień
traditional,mother,mama
traditional,father,tata
traditional,parents,rodzice
traditional,sister,siostra
traditional,brother,brat
traditional,son,syn
traditional,daughter,córka
traditional,child,dziecko
traditional,husband,mąż
traditional,wife,żona
traditional,partner,partner
traditional,friend,przyjaciel
traditional,cousin,kuzyn
traditional,aunt,ciocia
traditional,uncle,wujek
traditional,grandmother,babcia
traditional,grandfather,dziadek
traditional,family,rodzina
traditional,tall,wysoki
traditional,short,niski
traditional,young,młody
traditional,old,stary
traditional,hair,włosy
traditional,eyes,oczy
traditional,beard,broda
traditional,glasses,okulary
traditional,beautiful,piękny
traditional,ugly,brzydki
traditional,slim,szczupły
traditional,fat,gruby
traditional,strong,silny
traditional,weak,słaby
traditional,skin,skóra
traditional,face,twarz
traditional,kind,miły
traditional,nice,sympatyczny
traditional,funny,zabawny
traditional,serious,poważny
traditional,shy,nieśmiały
traditional,brave,odważny
traditional,lazy,leniwy
