front_text,back_text,explanation
Chrzest Polski – Mieszko I przyjmuje chrześcijaństwo (rok),966,"„Chrzest Polski” tradycyjnie uznaje się za symboliczny początek państwa w kręgu kultury łacińskiej. Ułatwił sojusze i budowę organizacji kościelnej, wzmacniając pozycję Mieszka I."
Bitwa pod Cedynią (rok),972,„Bitwa pod Cedynią” to wczesnopiastowskie starcie z margrabią Hodonem. W tradycji historiograficznej bywa przedstawiane jako ważny moment w rywalizacji o wpływy na zachodzie.
Męczeństwo św Wojciecha (rok),997,„Męczeństwo św Wojciecha” stało się istotnym elementem budowy prestiżu dynastii Piastów i Kościoła w Polsce. Kult świętego odegrał rolę w relacjach z cesarstwem oraz w rozwoju organizacji kościelnej.
Zjazd gnieźnieński (rok),1000,„Zjazd gnieźnieński” wzmocnił międzynarodową pozycję Polski za rządów Bolesława Chrobrego. Utworzenie niezależnej organizacji kościelnej przyspieszyło konsolidację państwa.
Pokój w Budziszynie (rok),1018,"„Pokój w Budziszynie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Koronacja Bolesława Chrobrego (rok),1025,"„Koronacja Bolesława Chrobrego” wzmacniała legitymację władzy i podnosiła rangę państwa w Europie. Wczesnośredniowieczne datowanie bywa oparte na skąpych źródłach, więc szczegóły nie zawsze są jednoznaczne."
Koronacja Mieszka II Lamberta (data),1025-12,"„Koronacja Mieszka II Lamberta” wzmacniała legitymację władzy i podnosiła rangę państwa w Europie. Wczesnośredniowieczne datowanie bywa oparte na skąpych źródłach, więc szczegóły nie zawsze są jednoznaczne."
Najazd czeski Brzetysława – zniszczenie Gniezna (rok),1038,„Najazd czeski Brzetysława” pochodzi z okresu wczesnopiastowskiego i jest znane z ograniczonych przekazów źródłowych. Traktuje się je jako etap kształtowania państwa i jego pozycji w regionie.
Odbudowa państwa – powrót Kazimierza Odnowiciela (rok),1039,„Odbudowa państwa” pochodzi z okresu wczesnopiastowskiego i jest znane z ograniczonych przekazów źródłowych. Traktuje się je jako etap kształtowania państwa i jego pozycji w regionie.
Koronacja Bolesława Śmiałego (rok),1076,"„Koronacja Bolesława Śmiałego” wzmacniała legitymację władzy i podnosiła rangę państwa w Europie. Wczesnośredniowieczne datowanie bywa oparte na skąpych źródłach, więc szczegóły nie zawsze są jednoznaczne."
Konflikt ze św Stanisławem – wygnanie króla (rok),1079,„Konflikt ze św Stanisławem” pochodzi z okresu wczesnopiastowskiego i jest znane z ograniczonych przekazów źródłowych. Traktuje się je jako etap kształtowania państwa i jego pozycji w regionie.
Obrona Głogowa przed Henrykiem V (rok),1109,„Obrona Głogowa przed Henrykiem V” pochodzi z okresu wczesnopiastowskiego i jest znane z ograniczonych przekazów źródłowych. Traktuje się je jako etap kształtowania państwa i jego pozycji w regionie.
Testament Bolesława Krzywoustego – początek rozbicia dzielnicowego (rok),1138,"„Testament Bolesława Krzywoustego” podzielił państwo między synów władcy, uruchamiając okres rozbicia dzielnicowego. Osłabiło to władzę centralną i ułatwiło presję sąsiadów."
Wyprawa Fryderyka Barbarossy na Polskę (rok),1157,„Wyprawa Fryderyka Barbarossy na Polskę” pochodzi z okresu wczesnopiastowskiego i jest znane z ograniczonych przekazów źródłowych. Traktuje się je jako etap kształtowania państwa i jego pozycji w regionie.
Przywilej łęczycki (rok),1180,„Przywilej łęczycki” przyznawał określone prawa i immunitety wybranej grupie społecznej. Stopniowo kształtował system stanowy i ograniczał władzę monarszą.
Sprowadzenie Krzyżaków do ziemi chełmińskiej (rok),1226,"„Sprowadzenie Krzyżaków do ziemi chełmińskiej” miało wzmocnić walkę z Prusami, ale w dłuższej perspektywie stworzyło nowego, silnego przeciwnika. Konflikty z Zakonem stały się jednym z głównych tematów polityki w kolejnych stuleciach."
Zjazd w Gąsawie – śmierć Leszka Białego (rok),1227,"„Zjazd w Gąsawie” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Bitwa pod Legnicą – najazd mongolski (data),1241-04-09,"„Bitwa pod Legnicą” była częścią najazdu mongolskiego na Europę Środkową. Choć zakończyła się klęską, dalszy marsz Mongołów został przerwany głównie z powodów strategicznych."
Statut kaliski – przywileje dla Żydów (rok),1264,"„Statut kaliski” regulował pozycję prawną Żydów w Polsce, zapewniając im ochronę i określone swobody. Akt ten bywa wskazywany jako fundament rozwoju społeczności żydowskiej w kolejnych wiekach."
Koronacja Przemysła II (data),1295-06-26,„Koronacja Przemysła II” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Koronacja Wacława II na króla Polski (rok),1300,„Koronacja Wacława II na króla Polski” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Zajęcie Gdańska przez Krzyżaków (rok),1308,"„Zajęcie Gdańska przez Krzyżaków” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Koronacja Władysława Łokietka w Krakowie (data),1320-01-20,„Koronacja Władysława Łokietka w Krakowie” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Bitwa pod Płowcami (data),1331-09-27,„Bitwa pod Płowcami” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Kazimierz Wielki królem Polski (rok),1333,"„Kazimierz Wielki królem Polski” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Pokój kaliski z Krzyżakami (rok),1343,"„Pokój kaliski z Krzyżakami” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Statuty wiślicko-piotrkowskie – kodyfikacja prawa (rok),1347,"„Statuty wiślicko-piotrkowskie” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Założenie Akademii Krakowskiej (data),1364-05-12,"„Założenie Akademii Krakowskiej” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Śmierć Kazimierza Wielkiego – koniec Piastów na tronie (rok),1370,"„Śmierć Kazimierza Wielkiego” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Przywilej koszycki (rok),1374,„Przywilej koszycki” przyznawał określone prawa i immunitety wybranej grupie społecznej. Stopniowo kształtował system stanowy i ograniczał władzę monarszą.
Koronacja Jadwigi Andegaweńskiej (rok),1384,„Koronacja Jadwigi Andegaweńskiej” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Unia w Krewie (rok),1385,„Unia w Krewie” była formą integracji politycznej (dynastycznej lub instytucjonalnej) z innym państwem. Zmieniała układ sił w regionie i wpływała na ustrój oraz politykę zagraniczną.
Koronacja Władysława Jagiełły (rok),1386,„Koronacja Władysława Jagiełły” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Unia wileńsko-radomska (rok),1401,„Unia wileńsko-radomska” była formą integracji politycznej (dynastycznej lub instytucjonalnej) z innym państwem. Zmieniała układ sił w regionie i wpływała na ustrój oraz politykę zagraniczną.
Bitwa pod Grunwaldem (data),1410-07-15,"„Bitwa pod Grunwaldem” to jedna z największych bitew średniowiecznej Europy, w której wojska polsko‑litewskie rozbiły siły Zakonu. Wzmocniła pozycję Polski i Litwy, choć spór z Krzyżakami trwał jeszcze lata."
I pokój toruński (data),1411-02,"„I pokój toruński” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Unia horodelska (rok),1413,„Unia horodelska” była formą integracji politycznej (dynastycznej lub instytucjonalnej) z innym państwem. Zmieniała układ sił w regionie i wpływała na ustrój oraz politykę zagraniczną.
Pokój melneński (rok),1422,"„Pokój melneński” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Koronacja Władysława III Warneńczyka (rok),1434,„Koronacja Władysława III Warneńczyka” symbolicznie potwierdzała suwerenność i prestiż władcy. Często wiązała się z przetasowaniami politycznymi i planami reform lub ekspansji.
Bitwa pod Warną (data),1444-11-10,„Bitwa pod Warną” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Inkorporacja Prus Królewskich – początek wojny trzynastoletniej (rok),1454,"„Inkorporacja Prus Królewskich” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
II pokój toruński (rok),1466,"„II pokój toruński” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Śmierć Kazimierza IV Jagiellończyka – zmiana na tronie (rok),1492,"„Śmierć Kazimierza IV Jagiellończyka” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Ukształtowanie sejmu walnego dwuizbowego (rok),1493,"„Ukształtowanie sejmu walnego dwuizbowego” to wydarzenie średniowieczne wpływające na układ sił w Europie Środkowej. Zwykle dotyczyło relacji dynastycznych, organizacji państwa lub konfliktów z sąsiadami."
Konstytucja Nihil novi (rok),1505,"„Konstytucja Nihil novi” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Bitwa pod Orszą (data),1514-09-08,„Bitwa pod Orszą” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Hołd pruski (data),1525-04-10,"„Hołd pruski” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
