front_image,back_text
ae.svg,Zjednoczone Emiraty Arabskie
af.svg,Afganistan
am.svg,Armenia
az.svg,Azerbejdżan
bd.svg,Bangladesz
bh.svg,Bahrajn
bn.svg,Brunei
bt.svg,Bhutan
cn.svg,Chiny
ge.svg,Gruzja
hk.svg,Hongkong
id.svg,Indonezja
il.svg,Izrael
in.svg,Indie
iq.svg,Irak
ir.svg,Iran
jo.svg,Jordania
jp.svg,Japonia
kg.svg,Kirgistan
kh.svg,Kambodża
kp.svg,Korea Północna
kr.svg,Korea Południowa
kw.svg,Kuwejt
kz.svg,Kazachstan
la.svg,Laos
lb.svg,Liban
lk.svg,Sri Lanka
mm.svg,Mjanma
mn.svg,Mongolia
mo.svg,Makau
mv.svg,Malediwy
my.svg,Malezja
np.svg,Nepal
om.svg,Oman
ph.svg,Filipiny
pk.svg,Pakistan
ps.svg,Palestyna
qa.svg,Katar
sa.svg,Arabia Saudyjska
sg.svg,Singapur
sy.svg,Syria
th.svg,Tajlandia
tj.svg,Tadżykistan
tl.svg,Timor Wschodni
tm.svg,Turkmenistan
tr.svg,Turcja
tw.svg,Tajwan
uz.svg,Uzbekistan
vn.svg,Wietnam
ye.svg,Jemen
