external_id,front_text,explanation
0001,Jak definiujemy wartość bezwzględną liczby rzeczywistej $x$?,Wartość bezwzględną definiujemy wzorem: $|x| = x$ dla $x \ge 0$ oraz $|x| = -x$ dla $x < 0$.
0002,Jak interpretujemy geometrycznie wartość bezwzględną $|x|$?,Liczba $|x|$ jest odległością na osi liczbowej punktu o współrzędnej $x$ od punktu o współrzędnej $0$.
0003,Jaką nierówność spełnia wartość bezwzględna dowolnej liczby $x$?,Dla dowolnej liczby $x$ mamy $|x| \ge 0$.
0004,Kiedy wartość bezwzględna liczby $x$ jest równa $0$?,"Zachodzi $|x| = 0$ wtedy i tylko wtedy, gdy $x = 0$."
0005,Jaka jest zależność między $|-x|$ oraz $|x|$?,Dla dowolnej liczby $x$ mamy $|-x| = |x|$.
0006,Jak wygląda nierówność trójkąta dla wartości bezwzględnej sumy?,"Dla dowolnych liczb rzeczywistych $x, y$ mamy $|x + y| \le |x| + |y|$."
0007,Jak oszacować wartość bezwzględną różnicy $x-y$?,"Dla dowolnych liczb rzeczywistych $x, y$ mamy $|x - y| \le |x| + |y|$."
0008,Jak obliczamy wartość bezwzględną iloczynu $x \cdot y$?,"Dla dowolnych liczb rzeczywistych $x, y$ mamy $|x \cdot y| = |x| \cdot |y|$."
0009,Jak obliczamy wartość bezwzględną ilorazu $\frac{x}{y}$?,"Jeżeli $y \ne 0$, to $\left|\frac{x}{y}\right| = \frac{|x|}{|y|}$."
0010,Z czym równoważna jest nierówność $|x-a| \le r$ dla $r \ge 0$?,"Dla dowolnych liczb rzeczywistych $a$ oraz $r \ge 0$ mamy $|x-a| \le r$ wtedy i tylko wtedy, gdy $a-r \le x \le a+r$."
0011,Z czym równoważna jest nierówność $|x-a| \ge r$ dla $r \ge 0$?,"Dla dowolnych liczb rzeczywistych $a$ oraz $r \ge 0$ mamy $|x-a| \ge r$ wtedy i tylko wtedy, gdy $x \le a-r$ lub $x \ge a+r$."
0012,"Jak definiujemy $n$-tą potęgę liczby rzeczywistej $a$, gdy $n$ jest dodatnią liczbą całkowitą?",Definiujemy $a^n = \underbrace{a \cdot a \cdot \ldots \cdot a}_{n\ \text{razy}}$.
0013,Jak definiujemy pierwiastek arytmetyczny stopnia $n$ z liczby $a \ge 0$?,"Pierwiastkiem arytmetycznym $\sqrt[n]{a}$ nazywamy liczbę $b \ge 0$ taką, że $b^n = a$."
0014,Jaki jest szczególny wzór dla $\sqrt{a^2}$?,Dla każdej liczby rzeczywistej $a$ zachodzi $\sqrt{a^2} = |a|$.
0015,"Co oznacza $\sqrt[n]{a}$, gdy $a < 0$ oraz $n$ jest nieparzyste?","Oznacza liczbę $b < 0$ taką, że $b^n = a$."
0016,Czy w zbiorze liczb rzeczywistych istnieją pierwiastki stopni parzystych z liczb ujemnych?,Nie. W zbiorze liczb rzeczywistych pierwiastki stopni parzystych z liczb ujemnych nie istnieją.
0017,Jak definiujemy potęgę $a^{-n}$ dla $a \ne 0$?,Dla $a \ne 0$ mamy $a^{-n} = \frac{1}{a^n}$.
0018,Ile wynosi $a^0$ dla $a \ne 0$?,Dla $a \ne 0$ przyjmujemy $a^0 = 1$.
0019,Jak definiujemy potęgę $a^{\frac{m}{n}}$ dla $a \ge 0$?,Dla $a \ge 0$ mamy $a^{\frac{m}{n}} = \sqrt[n]{a^m}$.
0020,Jak definiujemy potęgę $a^{-\frac{m}{n}}$ dla $a > 0$?,Dla $a > 0$ mamy $a^{-\frac{m}{n}} = \frac{1}{\sqrt[n]{a^m}}$.
0021,Jaki jest wzór na iloczyn potęg o tej samej podstawie?,"Jeżeli $a > 0$, to $a^r \cdot a^s = a^{r+s}$."
0022,Jaki jest wzór na potęgę potęgi?,"Jeżeli $a > 0$, to $(a^r)^s = a^{r \cdot s}$."
0023,Jaki jest wzór na iloraz potęg o tej samej podstawie?,"Jeżeli $a > 0$, to $\frac{a^r}{a^s} = a^{r-s}$."
0024,Jaki jest wzór na potęgę iloczynu?,"Jeżeli $a > 0$ i $b > 0$, to $(a \cdot b)^r = a^r \cdot b^r$."
0025,Jaki jest wzór na potęgę ilorazu?,"Jeżeli $a > 0$ i $b > 0$, to $\left(\frac{a}{b}\right)^r = \frac{a^r}{b^r}$."
0026,"Jakie warunki trzeba spełnić, aby stosować prawa działań na potęgach z wykładnikami rzeczywistymi?","Przy wykładnikach rzeczywistych podstawy potęg powinny być dodatnie: $a>0$ i $b>0$. Wtedy można stosować m.in. $a^r\cdot a^s=a^{r+s}$, $\frac{a^r}{a^s}=a^{r-s}$ oraz $(ab)^r=a^r b^r$."
0027,Kiedy prawa działań na potęgach można stosować dla podstaw różnych od zera?,"Gdy wykładniki są liczbami całkowitymi. Wtedy podstawy mogą być dodatnie lub ujemne, ale nie mogą być równe zero: $a\ne0$ i $b\ne0$."
0028,"Jak porównujemy potęgi $a^x$ i $a^y$, gdy $a \in (0,1)$?","Jeżeli $a \in (0,1)$, to nierówność $a^x < a^y$ jest równoważna nierówności $x > y$."
0029,"Jak porównujemy potęgi $a^x$ i $a^y$, gdy $a \in (1,+\infty)$?","Jeżeli $a \in (1,+\infty)$, to nierówność $a^x < a^y$ jest równoważna nierówności $x < y$."
0030,Jak definiujemy logarytm $\log_a b$?,"Jeżeli $a > 0$, $a \ne 1$ oraz $b > 0$, to $\log_a b$ jest wykładnikiem $c$, do którego należy podnieść $a$, aby otrzymać $b$."
0031,Z czym równoważny jest zapis $\log_a b = c$?,"Przy warunkach $a > 0$, $a \ne 1$, $b > 0$ zachodzi $\log_a b = c$ wtedy i tylko wtedy, gdy $a^c = b$."
0032,Jaki jest związek między logarytmem a potęgowaniem w zapisie $a^{\log_a b}$?,"Przy warunkach $a > 0$, $a \ne 1$, $b > 0$ zachodzi $a^{\log_a b} = b$."
0033,Jaki jest wzór na logarytm iloczynu?,Dla $x > 0$ i $y > 0$ mamy $\log_a(x \cdot y) = \log_a x + \log_a y$.
0034,Jaki jest wzór na logarytm ilorazu?,Dla $x > 0$ i $y > 0$ mamy $\log_a\left(\frac{x}{y}\right) = \log_a x - \log_a y$.
0035,Jaki jest wzór na logarytm potęgi?,Dla $x > 0$ oraz dowolnej liczby rzeczywistej $r$ mamy $\log_a x^r = r \cdot \log_a x$.
0036,Co oznaczają zapisy $\log x$ oraz $\lg x$?,Zapisy $\log x$ oraz $\lg x$ oznaczają $\log_{10} x$.
0037,Jaki jest wzór skróconego mnożenia na kwadrat sumy?,"Dla dowolnych liczb rzeczywistych $a, b$ mamy $(a+b)^2 = a^2 + 2ab + b^2$."
0038,Jaki jest wzór skróconego mnożenia na kwadrat różnicy?,"Dla dowolnych liczb rzeczywistych $a, b$ mamy $(a-b)^2 = a^2 - 2ab + b^2$."
0039,Jaki jest wzór skróconego mnożenia na różnicę kwadratów?,"Dla dowolnych liczb rzeczywistych $a, b$ mamy $a^2 - b^2 = (a-b)(a+b)$."
0040,Jaki jest szczególny przypadek wzoru na różnicę kwadratów dla $b=1$?,Dla dowolnej liczby rzeczywistej $a$ mamy $a^2 - 1 = (a-1)(a+1)$.
0041,Jak definiujemy wyróżnik $\Delta$ trójmianu kwadratowego $ax^2+bx+c$?,Dla $a \ne 0$ wyróżnikiem trójmianu kwadratowego $ax^2+bx+c$ jest liczba $\Delta = b^2 - 4ac$.
0042,Jaka jest postać ogólna funkcji kwadratowej?,"Postać ogólna funkcji kwadratowej to $f(x) = ax^2 + bx + c$, gdzie $a \ne 0$, $b,c \in \mathbb{R}$ oraz $x \in \mathbb{R}$."
0043,Czym jest wykres funkcji kwadratowej?,Wykresem funkcji kwadratowej jest parabola.
0044,Jak zapisujemy wierzchołek paraboli funkcji kwadratowej?,"Wierzchołek paraboli zapisujemy jako $W = (p,q)$."
0045,Jaki jest wzór na współrzędną $p$ wierzchołka paraboli?,Dla funkcji kwadratowej $f(x)=ax^2+bx+c$ mamy $p = -\frac{b}{2a}$.
0046,Jaki jest wzór na współrzędną $q$ wierzchołka paraboli?,Dla funkcji kwadratowej $f(x)=ax^2+bx+c$ mamy $q = -\frac{\Delta}{4a}$.
0047,"Jak są skierowane ramiona paraboli, gdy $a < 0$?","Gdy $a < 0$, ramiona paraboli skierowane są ku dołowi."
0048,"Jak są skierowane ramiona paraboli, gdy $a > 0$?","Gdy $a > 0$, ramiona paraboli skierowane są ku górze."
0049,"Ile miejsc zerowych ma funkcja kwadratowa, gdy $\Delta > 0$?","Jeżeli $\Delta > 0$, to funkcja kwadratowa ma dwa miejsca zerowe."
0050,"Jak obliczamy pierwsze miejsce zerowe funkcji kwadratowej, gdy $\Delta > 0$?","Gdy $\Delta > 0$, pierwsze miejsce zerowe wynosi $x_1 = \frac{-b-\sqrt{\Delta}}{2a}$."
0051,"Jak obliczamy drugie miejsce zerowe funkcji kwadratowej, gdy $\Delta > 0$?","Gdy $\Delta > 0$, drugie miejsce zerowe wynosi $x_2 = \frac{-b+\sqrt{\Delta}}{2a}$."
0052,"Ile miejsc zerowych ma funkcja kwadratowa, gdy $\Delta = 0$?","Jeżeli $\Delta = 0$, to funkcja kwadratowa ma dokładnie jedno miejsce zerowe."
0053,"Jak obliczamy jedyne miejsce zerowe funkcji kwadratowej, gdy $\Delta = 0$?","Gdy $\Delta = 0$, mamy $x_1 = x_2 = -\frac{b}{2a}$."
0054,"Ile miejsc zerowych ma funkcja kwadratowa, gdy $\Delta < 0$?","Jeżeli $\Delta < 0$, to funkcja kwadratowa nie ma miejsc zerowych."
0055,Jaka jest postać kanoniczna funkcji kwadratowej?,Postać kanoniczna funkcji kwadratowej to $f(x) = a(x-p)^2 + q$.
0056,Kiedy funkcję kwadratową można zapisać w postaci iloczynowej?,"Jeżeli $\Delta \ge 0$, to funkcję kwadratową można przedstawić w postaci iloczynowej."
0057,Jaka jest postać iloczynowa funkcji kwadratowej?,"Jeżeli $\Delta \ge 0$, to $f(x)=a(x-x_1)(x-x_2)$."
0058,Co oznaczają $x_1$ i $x_2$ w postaci iloczynowej funkcji kwadratowej?,Liczby $x_1$ i $x_2$ oznaczają miejsca zerowe funkcji kwadratowej.
0059,Jaki jest wzór na $n$-ty wyraz ciągu arytmetycznego?,Dla ciągu arytmetycznego o pierwszym wyrazie $a_1$ i różnicy $r$ mamy $a_n=a_1+(n-1)r$.
0060,Jaki jest wzór na sumę $S_n$ początkowych $n$ wyrazów ciągu arytmetycznego z użyciem $a_1$ i $a_n$?,Suma wynosi $S_n=\frac{a_1+a_n}{2}\cdot n$.
0061,Jaki jest wzór na sumę $S_n$ początkowych $n$ wyrazów ciągu arytmetycznego z użyciem $a_1$ i $r$?,Suma wynosi $S_n=\frac{2a_1+(n-1)r}{2}\cdot n$.
0062,Jaka własność zachodzi dla sąsiednich wyrazów ciągu arytmetycznego?,Dla $n \ge 2$ zachodzi $a_n=\frac{a_{n-1}+a_{n+1}}{2}$.
0063,Jaki jest wzór na $n$-ty wyraz ciągu geometrycznego?,Dla ciągu geometrycznego o pierwszym wyrazie $a_1$ i ilorazie $q$ mamy $a_n=a_1\cdot q^{n-1}$ dla $n \ge 2$.
0064,"Jaki jest wzór na sumę $S_n$ początkowych $n$ wyrazów ciągu geometrycznego, gdy $q \ne 1$?","Jeżeli $q \ne 1$, to $S_n=a_1\cdot \frac{1-q^n}{1-q}$."
0065,"Jaki jest wzór na sumę $S_n$ początkowych $n$ wyrazów ciągu geometrycznego, gdy $q=1$?","Jeżeli $q=1$, to $S_n=n\cdot a_1$."
0066,Jaka własność zachodzi dla sąsiednich wyrazów ciągu geometrycznego?,Dla $n \ge 2$ zachodzi $(a_n)^2=a_{n-1}\cdot a_{n+1}$.
0067,Jaki jest wzór na kapitał końcowy przy procencie składanym?,"Jeżeli kapitał początkowy $K_0$ złożymy na $n$ lat przy oprocentowaniu $p\%$ rocznie i kapitalizacji po każdym roku, to $K_n=K_0\cdot \left(1+\frac{p}{100}\right)^n$."
0068,Jak definiujemy $\sin \alpha$ w trójkącie prostokątnym?,$\sin \alpha$ to stosunek długości przyprostokątnej leżącej naprzeciw kąta $\alpha$ do długości przeciwprostokątnej: $\sin \alpha=\frac{\text{przyprostokątna naprzeciw }\alpha}{\text{przeciwprostokątna}}$.
0069,Jak definiujemy $\cos \alpha$ w trójkącie prostokątnym?,$\cos \alpha$ to stosunek długości przyprostokątnej leżącej przy kącie $\alpha$ do długości przeciwprostokątnej: $\cos \alpha=\frac{\text{przyprostokątna przy }\alpha}{\text{przeciwprostokątna}}$.
