front_text,back_text,flip,explanation
Ile planet jest w Układzie Słonecznym?,8,false,"Planety: Merkury, Wenus, Ziemia, Mars, Jowisz, Saturn, Uran, Neptun."
Najbliższa Słońcu planeta?,Merkury,false,"Średnia odległość Merkurego od Słońca to ok. 57,9 mln km (0,39 AU)."
Druga planeta od Słońca?,Wenus,false,
Trzecia planeta od Słońca?,Ziemia,false,
Czwarta planeta od Słońca?,Mars,false,
Piąta planeta od Słońca?,Jowisz,false,
Szósta planeta od Słońca?,Saturn,false,
Siódma planeta od Słońca?,Uran,false,
Ósma planeta od Słońca?,Neptun,false,
Największa planeta Układu Słonecznego?,Jowisz,false,Jowisz ma średnicę ok. 142 984 km (równikową) i masę ~318 mas Ziemi.
Najmniejsza planeta Układu Słonecznego?,Merkury,false,Merkury ma średnicę ok. 4 879 km.
Najgorętsza planeta Układu Słonecznego?,Wenus,false,To Wenus — gęsta atmosfera CO₂ powoduje silny efekt cieplarniany (~465°C na powierzchni).
Planeta nazywana 'Czerwoną'?,Mars,false,
Planeta z najsłynniejszymi pierścieniami?,Saturn,false,Pierścienie Saturna składają się głównie z lodu i drobin skalnych.
Ile księżyców ma Ziemia?,1,false,Naturalny satelita Ziemi to Księżyc (1).
Ile księżyców ma Mars?,2,false,Mars ma 2 księżyce: Fobosa i Deimosa.
Jak nazywa się bliższy księżyc Marsa?,Fobos,false,
Jak nazywa się dalszy księżyc Marsa?,Deimos,false,
Ile księżyców ma Merkury?,0,false,
Ile księżyców ma Wenus?,0,false,
Największy księżyc Układu Słonecznego?,Ganimedes,false,Ganimedes (księżyc Jowisza) ma średnicę ok. 5 268 km.
Księżyc Jowisza kojarzony z oceanem pod lodem?,Europa,false,Europa prawdopodobnie skrywa globalny ocean pod lodową skorupą.
Największy księżyc Saturna?,Tytan,false,Tytan ma gęstą atmosferę azotową i średnicę ok. 5 150 km.
Księżyc Saturna z gejzerami lodu?,Enceladus,false,
Największy księżyc Neptuna?,Tryton,false,
Skrót jednostki astronomicznej?,AU,false,1 AU to 149 597 871 – jest to średnia odległość Ziemi od słońca
Najbliższa gwiazda (poza Słońcem)?,Proxima Centauri,false,"Proxima Centauri znajduje się w odległości około 4,24–4,26 lat świetlnych od Ziemi"
W jakiej galaktyce jest Ziemia?,Droga Mleczna,false,
Najbliższa duża galaktyka względem Drogi Mlecznej?,Andromeda,false,
Najjaśniejsza gwiazda nocnego nieba?,Syriusz,false,
Jak nazywa się Gwiazda Polarna?,Polaris,false,
Jak nazywa się teleskop kosmiczny uruchomiony w 1990?,Hubble,false,
Jaka sonda minęła Plutona w 2015?,New Horizons,false,
Planeta karłowata w pasie planetoid?,Ceres,false,
Region za Neptunem z Plutonem?,Pas Kuipera,false,
Jak nazywa się obłok obiegający Słońce,Oorta,false,"hipotetyczny, sferyczny obłok, składający się z pyłu, drobnych okruchów i planetoid obiegających Słońce w odległości od 300 do 100 000 j.a. "
Jak nazywa się granica wpływu wiatru słonecznego?,heliopauza,false,
Jak nazywa się jednostka 1 pc?,parsek,false,"jeden parsek to około 3,2616 lat świetlnych "
Jak nazywa się 'spadająca gwiazda'?,meteor,false,
"Jak nazywa się obiekt, który spadł na Ziemię?",meteoryt,false,
Jak nazywa się obiekt w kosmosie przed wejściem w atmosferę?,meteoroid,false,
W jakim gwiazdozbiorze jest Wielki Wóz?,Wielka Niedźwiedzica,false,
"Prędkość światła w próżni (km/s, zaokrąglona)?",300000,false,"Dokładnie: 299 792 km/s, zwykle zaokrągla się do 300 000 km/s."
Jak nazywa się obszar planetoid między Marsem a Jowiszem?,Pas Główny,false,
Jak nazywa się gwiazda w centrum Układu Słonecznego?,Słońce,false,
Co jest większe: Księżyc czy Merkury?,Merkury,false,Średnice: Merkury: 4879km. Księżyc 3474km. 
Co jest większe: Wenus czy Ziemia?,Ziemia,false,Średnice: Wenus:12104km. Ziemia: 12756km
Co jest większe: Uran czy Neptun?,Uran,false,Średnice: Uran: 51118km. Neptun: 49526km
Co jest większe: Pluton czy Księżyc?,Księżyc,false,Średnice: Księżyc: 3474km. Pluton: 2370 km
Średnia odległość Ziemi od Księżyca (km)?,384400,false,"Średnio ok. 384 400 km (orbita eliptyczna, więc odległość się zmienia)."
Ile dni trwa obieg Merkurego wokół Słońca?,88,false,
Ile dni trwa obieg Wenus wokół Słońca?,225,false,
Ile lat trwa obieg Jowisza wokół Słońca?,11.9,false,
Ile lat trwa obieg Saturna wokół Słońca?,29.5,false,
Ile lat trwa obieg Neptuna wokół Słońca?,164.8,false,
Ile godzin trwa jeden dzień na Wenus?,5832,false,
Ile godzin trwa jeden dzień na Jowiszu?,9.9,false,
