external_id,type,front_text,back_text
0001,traditional,hey,hej
0002,traditional,hi,"cześć, hej"
0003,traditional,hello,witaj
0004,traditional,welcome,"witaj, proszę"
0005,traditional,goodbye,do widzenia
0006,traditional,bye,pa
0007,traditional,morning,"rano, ranek, poranek, poranny"
0008,traditional,evening,wieczór
0009,traditional,night,"noc, wieczór, zmrok, nocny"
0010,traditional,greetings,pozdrowienia
0011,traditional,cheers,na zdrowie
0012,traditional,thanks,"dzięki, podziękowanie, podziękowania, dziękować"
0013,traditional,please,proszę
0014,traditional,sorry,"przepraszam, przykro mi"
0015,traditional,pardon,wybacz
0017,traditional,thankyou,dziękuję
0020,traditional,excuse,"wymówka, usprawiedliwienie, wytłumaczenie, wybaczać, przepraszać"
0022,traditional,sir,"pan, proszę pana"
0023,traditional,madam,pani
0024,traditional,miss,"panno, panna, tęsknić za, chybić, nie trafić, minąć się, przeoczyć, opuścić, spóźnić się"
0026,traditional,kind,"życzliwy, miły, rodzaj, typ, uprzejmy"
0027,traditional,polite,uprzejmy
0028,traditional,respect,szacunek
0029,traditional,help,"pomoc, pomocny, pomagać, pomóc"
0030,traditional,issue,"problem, kwestia, wydanie, nakład, wydawać, publikować"
0031,traditional,understand,"rozumieć, zrozumieć"
0032,traditional,repeat,powtórzyć
0033,traditional,again,"ponownie, znowu, znów"
0034,traditional,slower,wolniej
0035,traditional,fast,"szybko, szybki, post, pościć"
0036,traditional,word,słowo
0037,traditional,sentence,"zdanie, wyrok, kara, skazać"
0038,traditional,meaning,"znaczenie, sens, oznaczać"
0039,traditional,explain,"wyjaśnić, wyjaśniać, tłumaczyć"
0040,traditional,translate,tłumaczyć
0041,traditional,spell,literować
0042,traditional,write,"napisać, pisać"
0043,traditional,listen,"słuchać, nasłuchiwać, słuchaj"
0044,traditional,speak,"mówić, rozmawiać, konwersować, przemawiać, wygłaszać, wypowiadać, powiedzieć, wyrażać, świadczyć o, posługiwać się"
0045,traditional,pronunciation,wymowa
0046,traditional,what,"co, jaki, kto, dlaczego, to, cóż"
0047,traditional,where,"gdzie, dokąd, podczas gdy"
0048,traditional,when,"kiedy, wtedy, gdy, gdy tylko, czas"
0049,traditional,who,"kto, który"
0050,traditional,why,"dlaczego, powód"
0051,traditional,how,"jak, ile, dlaczego"
0052,traditional,which,"który, co"
0053,traditional,whose,"czyj, czyja, czyje, którego"
0054,traditional,maybe,"może, zapewne"
0055,traditional,either,"którykolwiek, którykolwiek z dwóch, albo, lub, ani, też"
0056,traditional,many,"wiele, dużo, liczna, wielu"
0057,traditional,much,"dużo, wiele, bardzo, o wiele"
0058,traditional,few,"kilka, mało, niewiele, kilku, niedużo"
0059,traditional,every,każdy
0060,traditional,some,"trochę, kilka, niektóry, niektórzy"
0061,traditional,name,"imię, nazwisko, nazwa, nazywać"
0062,traditional,surname,nazwisko
0063,traditional,age,"wiek, epoka, era, starość, starzeć się, postarzać"
0064,traditional,country,"kraj, państwo, wieś, kraina, region, wiejski"
0065,traditional,city,"miasto, metropolia"
0066,traditional,language,"język, mowa, styl, słownictwo"
0067,traditional,job,"praca, zawód, zadanie, etat"
0068,traditional,student,"student, uczeń"
0069,traditional,from,"z, od, powód, w, wynik, na, przed"
0070,traditional,live,"mieszkać, żyć, prowadzić, żywy, na żywo"
0071,traditional,work,"pracować, praca, funkcjonować, dzieło"
0072,traditional,study,"badanie, nauka, czytelnia, studiować, uczyć się"
0073,traditional,hobby,hobby
0074,traditional,friend,przyjaciel
0075,traditional,nice,"miły, sympatyczny, ładny, fajnie"
0076,traditional,zero,"zero, zerowy, żaden, zerować"
