external_id,type,front_text,back_text,tf_answer,explanation
react_basic_hook_state_usestate,traditional,Jaki hook służy do tworzenia stanu lokalnego w komponencie funkcyjnym?,useState(),,`useState()` zwraca aktualną wartość stanu i funkcję do jej aktualizacji.
react_basic_hook_effect_useeffect,traditional,Jaki hook służy do uruchamiania efektów ubocznych po renderze komponentu?,useEffect(),,"`useEffect()` służy głównie do synchronizacji komponentu z systemami zewnętrznymi, np. API przeglądarki, timerem, subskrypcją, localStorage albo requestem. Nie każda logika zależna od stanu wymaga efektu."
react_basic_jsx_class_attribute,traditional,Jakiego atrybutu JSX używa się zamiast HTML-owego `class`?,className,,"W React DOM używa się zwykle `className`, ponieważ JSX korzysta z nazw propsów zbliżonych do właściwości DOM, a nie zawsze dokładnie z nazw atrybutów HTML."
react_basic_jsx_label_attribute,traditional,Jakiego atrybutu JSX używa się zamiast HTML-owego `for` w etykiecie `<label>`?,htmlFor,,W JSX atrybut `for` zapisuje się jako `htmlFor`.
react_basic_event_click_name,traditional,Jak nazywa się props obsługujący kliknięcie w JSX?,onClick,,"`onClick` przyjmuje funkcję, która zostanie uruchomiona po kliknięciu elementu."
react_basic_event_change_name,traditional,Jak nazywa się props obsługujący zmianę wartości inputa w JSX?,onChange,,`onChange` jest typowo używany w kontrolowanych formularzach.
react_basic_prevent_default_method,traditional,"Jaką metodę wywołasz na obiekcie event, aby zatrzymać domyślne wysłanie formularza?",preventDefault(),,"`event.preventDefault()` blokuje domyślne zachowanie przeglądarki, np. przeładowanie strony po submit."
react_basic_render_array_method,traditional,Jakiej metody tablicy najczęściej używa się w React do renderowania listy elementów?,map(),,`map()` pozwala zamienić tablicę danych na tablicę elementów JSX.
react_basic_list_unique_prop,traditional,Jak nazywa się specjalny props wymagany przy renderowaniu list elementów?,key,,"`key` pomaga Reactowi rozpoznać, które elementy listy zostały dodane, usunięte lub zmienione."
react_basic_fragment_short_syntax,traditional,Jak zapisuje się skróconą składnię React Fragment?,<>...</>,,Fragment pozwala zwrócić kilka elementów bez dodawania dodatkowego węzła DOM.
react_basic_children_prop,traditional,Jak nazywa się specjalny props zawierający elementy przekazane między tagami komponentu?,children,,"`children` pozwala budować komponenty-opakowania, np. karty, layouty i modale."
react_basic_conditional_and_operator,traditional,"Jakiego operatora często używa się do warunkowego renderowania elementu tylko wtedy, gdy warunek jest prawdziwy?",&&,,W JSX zapis `condition && <Element />` renderuje element tylko dla wartości truthy.
react_basic_conditional_ternary_operator,traditional,"Jakiego operatora użyjesz w JSX, gdy chcesz wyrenderować jedną z dwóch wartości zależnie od warunku?",?:,,Operator trójargumentowy pozwala zapisać `condition ? <A /> : <B />`.
react_basic_input_value_prop,traditional,Który props kontrolowanego inputa przechowuje aktualną wartość pola?,value,,W komponencie kontrolowanym wartość inputa pochodzi ze stanu Reacta przez props `value`.
react_basic_input_checked_prop,traditional,Który props kontrolowanego checkboxa przechowuje stan zaznaczenia?,checked,,"Dla checkboxów i radio buttonów kontrolowaną wartością jest zwykle `checked`, nie `value`."
react_basic_state_setter_example,traditional,"W kodzie `const [count, setCount] = useState(0)`, jak nazywa się funkcja aktualizująca stan?",setCount,,"Drugi element zwrócony przez `useState()` to setter, czyli funkcja do zaplanowania aktualizacji stanu."
react_basic_create_root_method,traditional,Jakiej funkcji z `react-dom/client` używa się do utworzenia root aplikacji React?,createRoot(),,"`createRoot()` tworzy root, na którym potem wywołuje się `.render(<App />)`."
react_basic_context_hook,traditional,"Jakiego hooka używa komponent, aby odczytać wartość z React Context?",useContext(),,`useContext(SomeContext)` zwraca aktualną wartość najbliższego providera danego kontekstu.
react_basic_ref_hook,traditional,"Jakiego hooka użyjesz, aby przechować referencję do elementu DOM bez powodowania rerenderu?",useRef(),,"`useRef()` zwraca obiekt z polem `.current`, którego zmiana sama w sobie nie uruchamia rerenderu."
react_intermediate_reducer_hook,traditional,"Jaki hook jest często używany zamiast wielu `useState`, gdy logika stanu robi się bardziej złożona?",useReducer(),,`useReducer()` porządkuje aktualizacje stanu przez akcje i reducer.
react_intermediate_memo_component,traditional,"Jakiej funkcji React użyjesz, aby zapamiętać wynik renderowania komponentu przy tych samych propsach?",memo(),,"`React.memo()` może ograniczyć rerendery komponentu, gdy jego propsy się nie zmieniły."
react_intermediate_memo_value_hook,traditional,Jakiego hooka użyjesz do memoizacji kosztownej wartości obliczanej podczas renderu?,useMemo(),,"`useMemo()` przechowuje wynik obliczenia między renderami, dopóki zależności się nie zmienią."
react_intermediate_memo_callback_hook,traditional,Jakiego hooka użyjesz do memoizacji funkcji przekazywanej np. do komponentu dziecka?,useCallback(),,"`useCallback()` zwraca tę samą referencję funkcji, jeśli jej zależności się nie zmieniły."
