front,back
more,"więcej, bardzo, -szy, jeszcze"
general,"powszechny, ogólny"
per,"na, od, zgodnie z"
service,"usługa, przysługa, obsługa, służba, serwis, nabożeństwo, obsługiwać, konserwować, naprawiać"
development,"rozwój, zagospodarowanie, wywoływanie"
total,"suma, całkowity, ogólny, kompletny, dodawać, sumować, obliczać, wynosić"
department,"departament, wydział, ministerstwo"
public,"publiczny, nieprywatny, społeczeństwo, publiczność"
thus,"zatem, tak więc, w ten sposób, stąd"
whether,czy
process,"proces, przebieg, postępowanie, analizować"
county,"hrabstwo, powiat"
present,"prezent, teraźniejszość, obecny, przedstawiać"
available,"dostępny, wolny"
president,"prezydent, prezydentka, prezes"
amount,"suma, kwota, ilość, wynosić"
land,"ziemia, ląd, kraj, teren, lądować"
economic,"ekonomiczny, gospodarczy, rentowny"
including,"w tym, wliczając w to"
required,"nieodzowny, niezbędny"
percent,procent
provided,"o ile, pod warunkiem, że"
policy,"polityka, norma, polisa, podejście"
property,"własność, mienie, nieruchomość, cecha"
analysis,analiza
least,"najmniej, najmniejszy"
various,"różnorodny, rozmaity"
though,"choć, jednak, mimo wszystko"
management,"zarząd, zarządzanie"
tax,"podatek, opodatkowywać"
district,"okręg, region, dzielnica, dystrykt, rejon"
industry,"przemysł, branża"
terms,"warunki, terminy"
press,"prasa, drukarnia, wydawnictwo, naciskać, prasować"
current,"aktualny, bieżący, współczesny, prąd, elektryczny, natężenie prądu, przepływ"
income,"dochód, przychód"
application,"podanie, zastosowanie, aplikacja, zgłoszenie"
union,"unia, związek, zjednoczenie, związek małżeński, suma"
treatment,"traktowanie, leczenie, terapia, oczyszczanie, uzdatnianie"
surface,"powierzchnia, strona, powierzchniowy, gładzić, polerować, wypłynąć"
central,"centralny, środkowy, główny, zasadniczy"
basis,podstawa
able,"zdolny, umiejętny, zręczny, mogący, móc, być w stanie"
council,"rada, komitet"
growth,"rozwój, wzrost, przyrost, narośl"
according,według
feet,"stopa, stopy"
construction,"budowa, budowanie, budownictwo, konstrukcja"
authority,"władza, autorytet, uprawnienie"
series,"seria, cykl, szereg, łańcuch, serial"
main,"główny, centralny, zasadniczy"
equipment,"wyposażenie, ekwipunek, sprzęt, aparatura, urządzenie"
operation,"operacja, działanie"
obtained,"otrzymany, uzyskany"
administration,"administracja, zarząd, rząd, kierownictwo"
theory,teoria
annual,"rocznik, coroczny, roczny"
decision,decyzja
respect,"wzgląd, szacunek, poszanowanie, dotyczyć"
generally,"ogólnie, generalnie, zazwyczaj, zwykle"
agreement,"ugoda, porozumienie, zobowiązanie, zgoda, umowa, przyzwolenie, zgodność"
financial,finansowy
organization,organizacja
effective,"efektywny, skuteczny, obowiązujący"
distribution,"dystrybucja, rozdawanie, rozdzielanie, rozkładanie, rozprowadzanie, rozkład"
security,"bezpieczeństwo, rękojmia, zabezpieczenie, ochrona, służba, gwarancja, poręczenie, papier wartościowy"
limited,"ograniczony, z ograniczoną odpowiedzialnością"
insurance,ubezpieczenie
industrial,"przemysłowy, uprzemysłowiony"
function,"funkcja, zadanie, impreza, funkcjonować"
resources,"zasoby, środki"
record,"zapisać, zarejestrować, nagrać, rejestr, zapis, rekord"
written,pisemny
journal,"dziennik, czasopismo"
loss,"strata, utrata"
individual,"indywidualny, poszczególny, osoba"
requirements,wymagania
employment,"zatrudnienie, praca"
volume,"głośność, objętość, tom"
region,"region, obszar, okolica"
particularly,szczególnie
