front,back
and,"i, a, potem, coraz"
in,"w, na, do, wnętrze, środek, w ciągu, za, po, z, spośród, dziedzina, wewnątrz, wpływy, władza, pozycja, ktoś, wpływowy, stan"
is,jest
that,"tamten, ten, ta, to, oto, który, że, iż, tak"
for,"dla, za, w, strona, przez, z powodu, reprezentować, symbolizować, ponieważ, bo"
it,"to, on, ona, ono, tu, koniec, berek, szukający, jego, swój, kastrat"
with,"z, przez"
on,"na, o, w, z, na koszt, pod, zaraz, po, włączony, zgodny, plan, rozpocząć, aby, włączyć, dalej, naprzód, za, później"
by,"przez, przy, obok, w, pobliże, podczas, do, przed, po, za, na, według, gdzieś, tu, tam, później"
not,"nie, a"
or,"lub, albo, ani, czy, bo, kolor, złoty"
this,"ten, ta, to, taki, tak"
at,"przy, na, w, u, o, dla, do, z, za, stan, wiek, znak"
from,"od, z, powód, w, wynik, na, przed"
he,on
which,"który, co"
have,"mieć, zawierać, charakteryzować się, otrzymać, wziąć, poczęstować się, wydać, polecenie, niech, odzyskać, obfitować"
his,"jego, swój"
but,"ale, oprócz, tylko, zaledwie"
you,"ty, pan, pani, wy, państwo, twój, swój, wasz"
we,my
they,"oni, one"
all,"wszyscy, wszystkie, cały, wszystko, całkowicie, zupełnie"
one,"jeden, jedynka, banknot, jednodolarowy, pierścień, ktoś, lub, coś, dobrze pasować, wyjątkowy"
their,"ich, swój"
can,"móc, umieć, potrafić, wiedzieć"
there,tam
other,"inny, drugi, ktoś"
if,"jeśli, gdyby, nawet, czy, choć, chociaż, warunek, wątpliwość, niepewność"
would,"by, chcieć, woleć"
her,"jej, swój, ona, ją"
may,"móc, oby, niech, być w stanie"
when,"kiedy, wtedy, gdy, gdy tylko, czas"
no,"nie, ani trochę, żadną miarą, żaden, zakaz, brak, odmowa, głos"
these,"ci, te, te"
new,nowy
she,ona
who,"kto, który"
than,"niż, od"
any,"jakiś, jakikolwiek, którykolwiek, każdy, choć, trochę, jeszcze"
time,"czas, okres, moment, chwila, raz, takt, czasowy, mierzyć, trwanie"
do,"robić, wystarczać, nadawać się"
what,"co, jaki, kto, dlaczego, to, cóż"
some,"trochę, kilka, niektóry"
also,"też, także, również"
about,"o, z, ze, przy, po, ku, około, dookoła, w trakcie, wokół"
only,"tylko, jedynie, jedyny"
into,"do, w, na"
out,"na zewnątrz, z, ze, zewnętrzny, wypuścić, poza, dom, wyjście, ujawnić"
two,"dwa, dwójka, banknot, dwudolarowy, dwulatek"
my,"mój, swój, o rany, ojej"
them,"ich, nich, im, nimi, siebie, sobie"
him,"jego, go, on, mu, nim"
first,"pierwszy, po pierwsze, najpierw"
see,"widzieć, zobaczyć, ujrzeć, zauważyć, spostrzec, rozumieć, odwiedzać"
our,"nasz, swój"
under,"pod, poniżej, mniej niż"
should,"powinien, należy"
up,"do góry, w górę, wzwyż, kompletnie"
could,"móc, umieć, potrafić"
after,"po, za, potem, późno, późny, zanim, nim"
then,"wtedy, wówczas, potem, następnie, dodatkowo"
between,"między, pomiędzy"
your,"twój, swój, pani, pan, wasz, państwo"
me,"ja, mnie, sobą, sobie"
over,"nad, na, przez, po, za, ponad, przekraczać, podczas, przy"
work,"pracować, funkcjonować, dzieło, praca"
where,"gdzie, dokąd, podczas gdy"
each,"każdy, pojedynczy"
year,rok
now,"teraz, no, więc"
