id,cefr_level,word,wordpl
1,A1,the,
2,A1,of,filiżanka herbaty; noga stołu; Uniwersytet Warszawski; z; ze stali; wielu z nich; wojna z roku 1991; ze strony; jak uprzejmie z jej strony; na; umrzeć na raka; o; Ustawa o publikacjach; człowiek-gigant; w; my w sześciu; w wieku lat; w wieku; dziewczynka w wieku sześciu lat; twój przyjaciel; miasto Oksford; miasto
3,A1,and,i; a; coraz; coraz bardziej
4,A1,to,"kochać; aby; żeby; stanął, aby na nią spojrzeć; pokazał Johnowi list; do; na; po; z; ku; dla; za; za dziesięć ósma; od ... do ...; z ... do ...; byli już w Niemczech; byli już w; tam i z powrotem; tam i sam"
5,A1,in,
6,A1,a,
7,A1,is,
8,A1,that,"ten; tamten; to; Ten człowiek czy tamten?; ,,Kto tam?''; ,,Co to takiego?''; to jest; że; Wiedziałem, że kłamie; który; jaki; To jest książka, którą mi pożyczyła; aż taki; taki; aż tak; tak; To nie takie złe"
9,A1,for,dla; na; w; na; do; na; z; ze strachu; do; jak na; przez; za; pomimo; jako że; ponieważ; po co; po raz pierwszy; po raz; całkowicie za czymś; całkowicie za
10,A1,as,
11,A1,it,to; on; ona; ono; pada; jest; ciepło jest dzisiaj; ciepło; to; to ja
12,A1,with,z; wytrzyj to mokrą ścierką; wraz z; gdy; przy; w przypadku; wziąwszy pod uwagę; u
13,A1,be,
14,A1,on,
15,A1,by,
16,A1,was,
17,A1,not,
18,A1,or,lub; albo; czy; ponieważ; inaczej
19,A1,this,ten; to; obecny; dzisiejszy; dzisiejszego ranka wstał wcześnie; najbliższy; zrobię to w nadchodzącą niedzielę; tutejszy; tutejszy kraj; nasza ojczyzna; taki; taki duży; to; to John: przedstawiam ci Johna; tu mówi John
20,A1,are,
21,A1,i,ja
22,A1,at,przy; w; na; o; w; o piątej; w dniu Bożego Narodzenia; u Mary; w wieku szesnastu lat; za 6 dolarów; z szybkością 80 km/h
23,A1,from,z; od
24,A1,he,on; samiec; pies samiec
25,A1,which,"który; jaki; co; to; krzyczał, a to ją zirytowało"
26,A1,an,
27,A1,have,
28,A1,his,jego
29,A1,but,ale; jednak; oprócz; wszyscy oprócz niego; dopiero co; dopiero; dopiero co wyszedł ze szpitala; ale jednak; a jednak; z wyjątkiem; gdyby nie
30,A1,you,ty; wy; pan; pani; panowie; panie; wtedy ma się problemy
31,A1,were,
32,A1,we,my
33,A1,they,oni; one
34,A1,had,
35,A1,all,"wszyscy; całkiem; całkowicie; jestem całkiem sam; jedyne; wszystko; jedyne, co robisz, to ...; po; po trzy; tym; tym bardziej; tym lepiej; przede wszystkim; jednak; czyli; ogółem; nie aż tak; nie aż tak dobrze; to wszystko pięknie, ale; wcale; przede wszystkim; przy całym; przy całej jej wrażliwości; razem; ogółem; ze wszystkich; najlepszy ze wszystkich; koniec niebezpieczeństwa; w porządku; dobrze"
36,A1,has,
37,A1,one,jeden; jedyny; pewien; ta książka nie jest tak dobra jak ta druga; trzeba być ostrożnym; jeden po drugim; jeden za drugim; wzajemnie; się; siebie; przynajmniej; przynajmniej ja
38,A1,their,ich
39,A2,been,on był w Paryżu; on był w
40,A2,will,
41,A1,can,
42,A1,there,
43,A1,other,drugi; pozostały; inny; niedawno; nic innego jak; innego jak; co drugi; jeden po drugim
44,A1,if,
45,A1,would,
46,A1,her,
47,A1,may,móc; może padać; wolno; wolno mu to zrobić; może to zrobić; oby; obyś był szczęśliwy
48,A1,when,
49,A1,its,jego; jej; ich; swój
50,A1,no,"nie; tak; to nie jest łatwe -- tak, to całkiem trudne; żaden; wzbronione; zabrania się; palenie wzbronione"
51,A1,these,
52,A1,new,
53,A1,she,ona; samica; suka
54,A2,such,taki; jako taki; taki to a taki; taki a taki
55,A1,who,kto; który
56,A1,than,z niż
57,A1,any,żaden; którykolwiek; jakikolwiek; jakiś; dowolny
58,A1,time,
59,A1,do,
60,A1,what,"co; jaki; który; co za człowiek; cóż to za człowiek!; a może byśmy ...?; co byś powiedział na ...?; a co będzie, jak ...; z tym ..."
61,A1,some,proszę wziąć cukier; trochę; nieco; niektórzy; niektóre; dość dużo; pewien; jakiś; któryś; około; jakieś; długi na jakieś 5 cm; niezły; piękny; ten czy tamten
62,A1,also,także
63,A1,about,o; z; około; wokoło; istnieć; być dostępnym; mieć coś zrobić; zamierzać coś zrobić
64,A1,only,tylko; jedynie; jedyny; ledwo; bardzo; niezwykle; tylko wtedy; gdy
65,A1,into,do; do domu; w; długo w nocy; zbadanie wypadku; na; rozerwać na 8 kawałków; tłumaczyć na angielski; lubić coś
66,A1,out,
67,A1,two,dwa; na dwoje
68,A1,my,mój
69,A1,them,
70,A2,so,"tak; taki; tak samo; też; i ja też; ja tak samo; tak więc; więc; dlatego; tak więc; tak, aby; no to co?; no i co z tego?; jak z ... tak i z ...; do tej pory; i tak dalej; nie tyle ... co ..."
71,A1,him,
