external_id,front_text,back_text
es_basic_0001_czesc,hello,hola
es_basic_0002_dzien_dobry,good morning,buenos días
es_basic_0003_dobry_wieczor,good afternoon,buenas tardes
es_basic_0004_dobranoc,good night,buenas noches
es_basic_0005_do_widzenia,goodbye,adiós
es_basic_0006_do_zobaczenia,see you later,hasta luego
es_basic_0007_na_razie,see you,nos vemos
es_basic_0008_witam,welcome,bienvenido
es_basic_0009_prosze,please,por favor
es_basic_0010_dziekuje,thank you,gracias
es_basic_0011_przepraszam,sorry,perdón
es_basic_0012_nie_ma_za_co,you're welcome,de nada
es_basic_0013_nic_sie_nie_stao,it's okay,no pasa nada
es_basic_0014_poprosze,I would like,quisiera
es_basic_0015_czy_moge,can I?,¿puedo?
es_basic_0016_bardzo_mi_mio,nice to meet you,mucho gusto
es_basic_0017_tak,yes,sí
es_basic_0018_nie,no,no
es_basic_0019_moze,maybe,quizás
es_basic_0020_dobrze,well,bien
es_basic_0021_zle,badly,mal
es_basic_0022_oczywiscie,of course,por supuesto
es_basic_0023_nie_wiem,I don't know,no sé
es_basic_0024_rozumiem,I understand,entiendo
es_basic_0025_nie_rozumiem,I don't understand,no entiendo
es_basic_0026_ok,OK,vale
es_basic_0027_mam_na_imie,My name is,me llamo
es_basic_0028_jestem,I am,soy
es_basic_0029_nazywam_sie,I am called,me llamo
es_basic_0030_mio_cie_poznac,Nice to meet you,encantado de conocerte
es_basic_0031_skad_jestes,Where are you from?,¿de dónde eres?
es_basic_0032_jestem_z,I am from,soy de
es_basic_0033_ile_masz_lat,How old are you?,¿cuántos años tienes?
es_basic_0034_mam_lat,I am X years old,tengo X años
es_basic_0035_kto,who?,¿quién?
es_basic_0036_co,what?,¿qué?
es_basic_0037_gdzie,where?,¿dónde?
es_basic_0038_kiedy,when?,¿cuándo?
es_basic_0039_dlaczego,why?,¿por qué?
es_basic_0040_jak,how?,¿cómo?
es_basic_0041_ile,how much?,¿cuánto?
es_basic_0042_ktory,which?,¿cuál?
es_basic_0043_czy,if,si
es_basic_0044_jaki,what kind of?,¿qué tipo de?
es_basic_0045_ja,I,yo
es_basic_0046_ty,you,tú
es_basic_0047_on,he,él
es_basic_0048_ona,she,ella
es_basic_0049_ono,that,eso
es_basic_0050_my,we,nosotros
es_basic_0051_wy,you plural informal,vosotros
es_basic_0052_oni,they masculine group,ellos
es_basic_0053_one,they feminine group,ellas
es_basic_0054_moj,my,mi
es_basic_0055_twoj,your,tu
es_basic_0056_jego_lub_jej,his or her,su
es_basic_0057_nasz,our,nuestro
es_basic_0058_wasz,your plural,vuestro
es_basic_0059_byc,to be,ser
es_basic_0060_miec,to have,tener
es_basic_0061_robic,to do,hacer
es_basic_0062_isc,to go,ir
es_basic_0063_przyjsc,to come,venir
es_basic_0064_jechac,to travel,viajar
es_basic_0065_chciec,to want,querer
es_basic_0066_lubic,to like,gustar
es_basic_0067_wiedziec,to know facts,saber
es_basic_0068_znac,know,conocer
es_basic_0069_mowic,to speak,hablar
es_basic_0070_rozumiec,to understand,entender
es_basic_0071_jesc,to eat,comer
es_basic_0072_pic,to drink,beber
es_basic_0073_spac,to sleep,dormir
es_basic_0074_mieszkac,to live,vivir
es_basic_0075_pracowac,to work,trabajar
es_basic_0076_uczyc_sie,to learn,aprender
es_basic_0077_kupic,to buy,comprar
es_basic_0078_dac,to give,dar
es_basic_0079_widziec,to see,ver
es_basic_0080_syszec,to hear,oír
es_basic_0081_otworzyc,to open,abrir
es_basic_0082_zamknac,to close,cerrar
es_basic_0083_zero,zero,cero
es_basic_0084_jeden,one,uno
es_basic_0085_dwa,two,dos
es_basic_0086_trzy,three,tres
es_basic_0087_cztery,four,cuatro
es_basic_0088_piec,five,cinco
es_basic_0089_szesc,six,seis
es_basic_0090_siedem,seven,siete
es_basic_0091_osiem,eight,ocho
es_basic_0092_dziewiec,nine,nueve
es_basic_0093_dziesiec,ten,diez
es_basic_0094_jedenascie,eleven,once
es_basic_0095_dwanascie,twelve,doce
es_basic_0096_dwadziescia,twenty,veinte
es_basic_0097_trzydziesci,thirty,treinta
es_basic_0098_sto,one hundred,cien
es_basic_0099_tysiac,one thousand,mil
es_basic_0100_pierwszy,first,primero
es_basic_0101_drugi,second,segundo
es_basic_0102_trzeci,third,tercero
es_basic_0103_poowa,half,la mitad
es_basic_0104_duzo,a lot,mucho
es_basic_0105_mao,little,poco
es_basic_0106_kilka,a few,unos cuantos
es_basic_0107_biay,white,blanco
es_basic_0108_czarny,black,negro
es_basic_0109_czerwony,red,rojo
es_basic_0110_niebieski,blue,azul
es_basic_0111_zielony,green,verde
es_basic_0112_zoty,yellow,amarillo
es_basic_0113_pomaranczowy,orange,naranja
es_basic_0114_rozowy,pink,rosa
es_basic_0115_fioletowy,purple,morado
es_basic_0116_brazowy,brown,marrón
es_basic_0117_szary,gray,gris
es_basic_0118_jasny,light,claro
es_basic_0119_ciemny,dark,oscuro
es_basic_0120_poniedziaek,Monday,lunes
es_basic_0121_wtorek,Tuesday,martes
es_basic_0122_sroda,Wednesday,miércoles
es_basic_0123_czwartek,Thursday,jueves
es_basic_0124_piatek,Friday,viernes
es_basic_0125_sobota,Saturday,sábado
es_basic_0126_niedziela,Sunday,domingo
es_basic_0127_dzisiaj,today,hoy
es_basic_0128_jutro,tomorrow,mañana
es_basic_0129_wczoraj,yesterday,ayer
es_basic_0130_rano,in the morning,por la mañana
es_basic_0131_wieczorem,at night,por la noche
es_basic_0132_teraz,now,ahora
es_basic_0133_pozniej,later,más tarde
es_basic_0134_wczesniej,earlier,antes
es_basic_0135_godzina,hour,hora
es_basic_0136_minuta,minute,minuto
es_basic_0137_tydzien,week,semana
es_basic_0138_miesiac,month,mes
es_basic_0139_rok,year,año
es_basic_0140_dom,house,casa
es_basic_0141_szkoa,school,escuela
es_basic_0142_praca,work,trabajo
es_basic_0143_sklep,store,tienda
es_basic_0144_restauracja,restaurant,restaurante
es_basic_0145_toaleta,toilet,baño
es_basic_0146_hotel,hotel,hotel
es_basic_0147_szpital,hospital,hospital
es_basic_0148_apteka,pharmacy,farmacia
es_basic_0149_dworzec,station,estación
es_basic_0150_lotnisko,airport,aeropuerto
es_basic_0151_ulica,street,calle
es_basic_0152_miasto,city,ciudad
es_basic_0153_kraj,country,país
es_basic_0154_pokoj,room,habitación
es_basic_0155_kuchnia,kitchen,cocina
es_basic_0156_azienka,bathroom,baño
es_basic_0157_czowiek,human being,ser humano
es_basic_0158_osoba,person,persona
es_basic_0159_kobieta,woman,mujer
es_basic_0160_mezczyzna,man,hombre
es_basic_0161_dziecko,child,niño
es_basic_0162_mama,mom,mamá
es_basic_0163_tata,dad,papá
es_basic_0164_rodzice,parents,padres
es_basic_0165_brat,brother,hermano
