id,cefr_level,word,wordpl
4,A1,to,"do, na, w, po, dla, za, od, niż, z, tym, ku, przy, według, żeby, aby, by"
6,A1,a,Brak tłumaczenia
5,A1,in,"w, na, do, wnętrze, środek, w ciągu, za, po, z, spośród, dziedzina, wewnątrz, wpływy, władza, pozycja, ktoś, wpływowy, stan, batsman, modny"
7,A1,is,Brak tłumaczenia
9,A1,for,"dla, za, w, strona, przez, z powodu, reprezentować, jak, symbolizować, ponieważ, bo"
10,A1,as,"jak, jako, w, rola, tak, kiedy, gdy, podczas gdy, w miarę, ponieważ, skoro, niż, jak gdyby, że, który, co, na przykład, as"
8,A1,that,"tamten, ten, ta, to, oto, który, że, iż, tak"
1,A1,the,"wystarczać, właściwy, za, na"
2,A1,of,"z, z powodu, pod, na, w, wiek, za, bez, o"
11,A1,it,"to, on, ona, ono, tu, koniec, berek, szukający, jego, swój, kastrat, modny"
3,A1,and,"i, a, potem, coraz"
14,A1,on,"na, o, w, z, na koszt, pod, zaraz, po, włączony, zgodny, plan, rozpocząć, aby, włączyć, dalej, naprzód, za, później"
13,A1,be,"być, istnieć, egzystować, mieć, ileś, rok, w, jakiś, wiek"
17,A1,not,"nie, a"
18,A1,or,"lub, albo, ani, czy, bo, kolor, złoty"
22,A1,at,"przy, na, w, u, o, dla, do, z, za, stan, wiek, znak, @"
21,A1,i,i
19,A1,this,"ten, ta, to, taki, tak, prawda, zgoda"
26,A1,an,"jak, tak jakby, ა, Ⴀ"
24,A1,he,"on, ona, ono, ten, kto, osoba, który, he"
20,A1,are,ar
27,A1,have,"mieć, zawierać, charakteryzować się, otrzymać, wziąć, poczęstować się, wydać, polecenie, niech, odzyskać, bogacz, bogaty"
15,A1,by,"przez, przy, obok, w, pobliże, podczas, do, przed, po, za, na, według, gdzieś, tu, tam, później"
30,A1,you,"ty, pan, pani, wy, państwo, twój, swój, wasz"
29,A1,but,"ale, oprócz, tylko, zaledwie, przedsionek, chata"
32,A1,we,my
12,A1,with,"z, przez"
28,A1,his,"jego, swój"
16,A1,was,be
23,A1,from,"od, z, powód, w, wynik, na, przed"
35,A1,all,"wszyscy, wszystkie, cały, wszystko, całkowicie, zupełnie"
37,A1,one,"jeden, 1, ten, jedynka, banknot, jednodolarowy, pierścień, ktoś, lub, coś, dobrze, pasować, wyjątkowy"
33,A1,they,"oni, one, on, ona"
41,A1,can,"móc, umieć, potrafić, wiedzieć, puszkować, wstrzymać, schować, zamknąć się, wyrzucić, z, praca, puszka, konewka, kibel, pośladek, słuchawka"
25,A1,which,"który, co"
31,A1,were,"wartość, życie, ludzki, osoba, przemieniać, się, w, zwierzę"
42,A1,there,tam
38,A1,their,"ich, swój, jego, jej"
34,A1,had,Brak tłumaczenia
39,A2,been,"być, gdzieś, odwiedzić, jakiś, miejsce"
40,A2,will,"chcieć, przekazać, w, testament, wola, chęć"
46,A1,her,"jej, swój, ona, ją, nią, sobą, siebie"
44,A1,if,"jeśli, gdyby, nawet, czy, choć, chociaż, warunek, wątpliwość, niepewność"
49,A1,no,"nie, ani trochę, żadną miarą, żaden, zakaz, brak, odmowa, głos"
52,A1,she,"ona, on, ono"
43,A1,other,"inny, drugi, ktoś"
50,A1,these,Brak tłumaczenia
45,A1,would,"by, chcieć, woleć"
47,A1,may,"móc, oby, niech, być w stanie"
36,A1,has,Brak tłumaczenia
58,A1,do,"robić, wystarczać, nadawać się, impreza, fryzura, uczesanie, czyn, oszust, oszustwo, do"
48,A1,when,"kiedy, wtedy, gdy, gdy tylko, czas"
57,A1,time,"czas, okres, moment, chwila, raz, takt, czasowy, mierzyć, trwanie, coś"
55,A1,than,"niż, od"
54,A1,who,"kto, który"
51,A1,new,nowy
53,A2,such,taki
59,A1,what,"co, jaki, kto, prawda, dlaczego, to, za, cóż, tak, w, ten, sposób, tyle, zarówno, och, nieprawdaż, coś"
56,A1,any,"jakiś, jakikolwiek, którykolwiek, każdy, choć, trochę, jeszcze"
