front_text,back_text,explanation
Chrzest Polski (rok),0966,Przyjęcie chrztu przez Mieszka I włączyło państwo Polan do kręgu kultury chrześcijańskiej Europy. To symboliczny początek państwa polskiego w historii.
Bitwa pod Cedynią (rok),0972,Wojska Mieszka I pokonały margrabiego Hodona. Zwycięstwo umocniło pozycję Mieszka na zachodniej granicy.
Śmierć świętego Wojciecha (rok),0997,Biskup Wojciech zginął podczas misji chrystianizacyjnej w Prusach. Jego śmierć stała się ważnym argumentem dla wzrostu znaczenia Polski w Europie.
Zjazd w Gnieźnie (rok),1000,Spotkanie Bolesława Chrobrego z cesarzem Ottonem III wzmocniło prestiż Polski. Utworzono niezależną organizację kościelną z arcybiskupstwem w Gnieźnie.
Wyprawa kijowska (rok),1018,Bolesław Chrobry wyprawił się na Ruś i zdobył Kijów. Był to szczyt potęgi militarnej pierwszych Piastów.
Koronacja Bolesława Chrobrego (rok),1025,Bolesław Chrobry został pierwszym królem Polski. Koronacja podniosła rangę państwa polskiego.
Koronacja Mieszka II (rok),1025,Po śmierci Bolesława Chrobrego koronowano Mieszka II Lamberta. Oznaczało to kontynuację królewskiej godności w dynastii Piastów.
Objęcie władzy przez Kazimierza Odnowiciela (rok),1034,Kazimierz Odnowiciel rozpoczął odbudowę państwa po kryzysie monarchii wczesnopiastowskiej. Jego rządy ustabilizowały sytuację wewnętrzną.
Bitwa na Psim Polu (rok),1109,"Według tradycji była to jedna z bitew obronnych przeciw Henrykowi V. W historiografii trwa spór, na ile wydarzenie miało dokładnie taki przebieg."
Podział Polski na dzielnice (rok),1138,Testament Bolesława Krzywoustego wprowadził rozbicie dzielnicowe. Osłabiło to jedność państwa na wiele pokoleń.
Sprowadzenie Krzyżaków do Polski (rok),1226,Konrad Mazowiecki sprowadził Krzyżaków do walki z Prusami. W przyszłości zakon stał się groźnym przeciwnikiem Polski.
"Najazd Tatarów, bitwa pod Legnicą (rok)",1241,Mongołowie najechali Polskę i pokonali rycerstwo pod Legnicą. W bitwie zginął książę Henryk Pobożny.
