external_id,front_text,back_text
0001,more,"więcej, bardzo, jeszcze"
0002,general,"powszechny, ogólny"
0003,per,"na, od, zgodnie z"
0004,service,"usługa, przysługa, obsługa, służba, serwis, nabożeństwo, obsługiwać, konserwować, naprawiać"
0005,development,"rozwój, zagospodarowanie, wywoływanie"
0006,total,"suma, całkowity, ogólny, kompletny, dodawać, sumować, obliczać, wynosić"
0007,department,"departament, wydział, ministerstwo, dział"
0008,public,"publiczny, nieprywatny, społeczeństwo, publiczność"
0009,thus,"zatem, tak więc, w ten sposób, stąd"
0010,whether,czy
0011,process,"proces, przebieg, postępowanie, analizować"
0012,county,"hrabstwo, powiat"
0013,present,"prezent, teraźniejszość, obecny, przedstawiać"
0014,available,"dostępny, wolny"
0015,president,"prezydent, prezydentka, prezes"
0016,amount,"suma, kwota, ilość, wynosić"
0017,land,"ziemia, ląd, kraj, teren, lądować"
0018,economic,"ekonomiczny, gospodarczy, rentowny"
0019,including,"w tym, wliczając w to"
0020,required,"nieodzowny, niezbędny, wymagane"
0021,percent,procent
0022,provided,"dostarczony, o ile, pod warunkiem, że"
0023,policy,"polityka, norma, polisa, podejście"
0024,property,"własność, mienie, nieruchomość, cecha"
0025,analysis,analiza
0026,least,"najmniej, najmniejszy"
0027,various,"różnorodny, rozmaity, różne"
0028,though,"choć, jednak, mimo wszystko, chociaż"
0029,management,"zarząd, zarządzanie"
0030,tax,"podatek, opodatkowywać"
0031,district,"okręg, region, dzielnica, dystrykt, rejon"
0032,industry,"przemysł, branża"
0033,terms,"warunki, terminy"
0034,press,"prasa, drukarnia, wydawnictwo, naciskać, prasować"
0035,current,"aktualny, bieżący, współczesny, prąd, elektryczny, natężenie prądu, przepływ"
0036,income,"dochód, przychód"
0037,application,"podanie, zastosowanie, aplikacja, zgłoszenie"
0038,union,"unia, związek, zjednoczenie, związek małżeński, suma"
0039,treatment,"traktowanie, leczenie, terapia, oczyszczanie, uzdatnianie"
0040,surface,"powierzchnia, strona, powierzchniowy, gładzić, polerować, wypłynąć"
0041,central,"centralny, środkowy, główny, zasadniczy"
0042,basis,podstawa
0043,able,"zdolny, umiejętny, zręczny, mogący, móc, być w stanie"
0044,council,"rada, komitet"
0045,growth,"rozwój, wzrost, przyrost, narośl"
0046,according,"według, zgodnie z"
0047,feet,"stopa, stopy"
0048,construction,"budowa, budowanie, budownictwo, konstrukcja"
0049,authority,"władza, autorytet, uprawnienie"
0050,series,"seria, cykl, szereg, łańcuch, serial"
0051,main,"główny, centralny, zasadniczy"
0052,equipment,"wyposażenie, ekwipunek, sprzęt, aparatura, urządzenie"
0053,operation,"operacja, działanie"
0054,obtained,"otrzymany, uzyskany, uzyskane"
0055,administration,"administracja, zarząd, rząd, kierownictwo"
0056,theory,teoria
0057,annual,"rocznik, coroczny, roczny"
0058,decision,decyzja
0059,respect,"wzgląd, szacunek, poszanowanie, dotyczyć"
0060,generally,"ogólnie, generalnie, zazwyczaj, zwykle"
0061,agreement,"ugoda, porozumienie, zobowiązanie, zgoda, umowa, przyzwolenie, zgodność"
0062,financial,finansowy
0063,organization,organizacja
0064,effective,"efektywny, skuteczny, obowiązujący"
0065,distribution,"dystrybucja, rozdawanie, rozdzielanie, rozkładanie, rozprowadzanie, rozkład"
0066,security,"bezpieczeństwo, rękojmia, zabezpieczenie, ochrona, służba, gwarancja, poręczenie, papier wartościowy"
0067,limited,"ograniczony, z ograniczoną odpowiedzialnością"
0068,insurance,ubezpieczenie
0069,industrial,"przemysłowy, uprzemysłowiony"
0070,function,"funkcja, zadanie, impreza, funkcjonować"
0071,resources,"zasoby, środki"
0072,record,"zapisać, zarejestrować, nagrać, rejestr, zapis, rekord"
0073,nor,"ani, też nie"
0074,written,"pisemny, napisany"
0075,journal,"dziennik, czasopismo"
0076,loss,"strata, utrata"
0077,individual,"indywidualny, poszczególny, osoba, osoba fizyczna"
0078,requirements,wymagania
0079,employment,"zatrudnienie, praca"
0080,volume,"głośność, objętość, tom"
0081,region,"region, obszar, okolica"
0082,particularly,szczególnie
0083,involved,"zaangażowany, wciągnięty, zawiły"
0084,sometimes,czasami
