external_id,front_text,back_text
0003,est,is
0011,a,has
0013,plus,more
0019,c',this
0020,était; étais; fut; fût; fus,was
0021,lui,him
0023,sa,her
0025,avait; avaient; avais; eu; eue; eut; eus; eurent; aviez; avoit,had
0026,ses,his
0027,tout,everything
0029,sont; es; sommes; êtes,are
0030,même; mêmes,same
0032,être; soient; sois; soyez,be
0035,bien,good
0037,leur; leurs,their
0038,fait; fais; fasse; faisons; fassent,do
0040,avoir; ai; ont; avons; avez; ait; aient; aies; ayez,have
0041,deux,of them
0042,peut; puisse; puissent,may
0043,faire,to do
0045,aussi,too
0047,été,summer
0049,dit; dite; disait; dirent,said
0050,moi,me
0051,autre,other
0052,non,Nope
0053,tous; toute; toutes,all
0054,temps,time
0056,encore,again
0057,très,very
0058,après,after
0059,alors,then
0060,autres,others
0061,là,the
0062,ma; mes,my
0064,quand,when
0065,peu,little
0067,ça; çà; ca,that
0068,vie,life
0071,ainsi,thus
0072,fois,time
0073,avant,before
0074,cela,that
0075,rien,nothing
0076,vers,towards
0077,homme,man
0078,toujours,still
0079,puis,then
0080,suis,am
0081,dire; dis; dites; disent; dise; dits,say
0084,moins,less
0085,monde,world
0086,jamais,never
0087,quelque; quelques,some
0088,notre; nos,our
0089,voir; vois; voyez; voient,see
0090,étaient; furent; étions; étiez; fussent,were
0092,depuis,from
0094,votre; vos,your
0095,contre,versus
0096,soit,that is
0097,grand; grande; grands,big
0098,jusqu',up
0099,yeux,eyes
0100,celui,the one
0105,tête,head
0106,cas,case
0108,jour,day
0109,trois,three
0110,an; ans,year
0111,faut; faudrait,should
0112,ici,here
0113,chose,thing
0114,point,point
0115,trop,too
0116,celle,that
0117,déjà,already
0119,femme; femmes,women
0120,petit,little
0121,ni,neither
0122,aller; va; vais; vas; alla; allé; aille,go
0123,père,dad
0124,moment,moment
0125,droit; droite,right
0126,main,hand
0128,devant,before
0129,place,square
0130,état,state
0131,pays,country
0133,comment,"how, what"
0134,travail,work
0135,personne,nobody
0137,chaque,each
0138,ceux; celles,those
0139,pendant,during
0140,dois; doit; doivent; devez,must
0141,eux,them
0142,partie,part
0144,corps,body
0145,bon,well
0146,mère,mother
0147,sens,meaning
0148,part,go
0149,porte,gate
0150,aurait; aurais; auraient; aurions; auriez; eût; eussent,would have
0151,histoire,story
0152,premier; première; premiers,first
0153,parce,by
0155,France,France
0156,hommes,men
0158,pourquoi,why
0159,beaucoup,a lot
0160,dieu,God
0161,effet,effect
0162,toi,you
0163,tant,so much
0164,souvent,often
0165,années,years
0166,ci,this
0167,nouveau; nouvel; nouveaux; nouvelles,new
0168,jours,days
0169,thé; the,tea
0170,jeune,young
0171,oui,yes
0173,pouvoir,power
0174,question,question
0175,plusieurs,various
0176,prendre; prend; prends; prenez; prenne; prenons,take
0177,as,ace
0178,mort; morte; morts; mortes,dead
0179,côté,side
0180,mal,wrong
0181,fin,end
0182,enfants,children
0183,maison,home
0184,serait; seraient; serais; serions; seriez,would be
0185,seul; seule,only
0186,nom,name
0187,lieu,venue
0188,politique,politics
0189,voix,voice
0190,compte,account
0191,également,also
0192,selon,according
0193,enfin,finally
0194,ville,town
0195,seulement,only
0196,cœur; coeur,heart
0197,mieux,better
0198,air,air
0200,sais; savez; savent; sache; sachez,know
0201,exemple,example
0203,regard,glance
0204,enfant,child
