external_id,type,front_text,back_text,tf_answer,explanation
js_basic_001_slice_from_2,traditional,"Co zwróci `[""ant"", ""bison"", ""camel"", ""duck"", ""elephant""].slice(2)`?","[""camel"", ""duck"", ""elephant""]",,`slice(2)` tworzy nową tablicę od indeksu `2` do końca.
js_basic_002_slice_1_3,traditional,"Co zwróci `[""ant"", ""bison"", ""camel"", ""duck""].slice(1, 3)`?","[""bison"", ""camel""]",,"Drugi argument `slice` jest końcem zakresu, ale nie jest wliczany."
js_basic_003_slice_negative,traditional,"Co zwróci `[""a"", ""b"", ""c"", ""d""].slice(-2)`?","[""c"", ""d""]",,Ujemny indeks liczy pozycję od końca tablicy.
js_basic_004_index_access,traditional,"Co zwróci `[""ant"", ""bison"", ""camel""][1]`?","""bison""",,"Indeksowanie tablic zaczyna się od `0`, więc indeks `1` to drugi element."
js_basic_005_array_length,traditional,"Co zwróci `[""a"", ""b"", ""c""].length`?",3,,`length` zwraca liczbę elementów tablicy.
js_basic_006_string_length,traditional,"Co zwróci `""JavaScript"".length`?",10,,`length` dla stringa zwraca liczbę znaków.
js_basic_007_push_return,traditional,"Co zwróci `const arr = [1, 2]; arr.push(3);` jako wartość `arr`?","[1, 2, 3]",,`push(3)` dodaje element na końcu tablicy i modyfikuje oryginał.
js_basic_008_push_result,traditional,"Co zwróci `[1, 2].push(3)`?",3,,"`push()` zwraca nową długość tablicy, nie samą tablicę."
js_basic_009_pop_result,traditional,"Co zwróci `[1, 2, 3].pop()`?",3,,`pop()` usuwa i zwraca ostatni element tablicy.
js_basic_010_shift_result,traditional,"Co zwróci `[1, 2, 3].shift()`?",1,,`shift()` usuwa i zwraca pierwszy element tablicy.
js_basic_011_unshift_result,traditional,"Co zwróci `[2, 3].unshift(1)`?",3,,`unshift()` dodaje element na początku i zwraca nową długość tablicy.
js_basic_012_includes_true,traditional,"Co zwróci `[""a"", ""b"", ""c""].includes(""b"")`?",true,,"`includes()` sprawdza, czy dana wartość znajduje się w tablicy."
js_basic_013_includes_false,traditional,"Co zwróci `[""a"", ""b"", ""c""].includes(""d"")`?",false,,"Wartości `""d""` nie ma w tej tablicy."
js_basic_014_indexof_found,traditional,"Co zwróci `[""a"", ""b"", ""c""].indexOf(""c"")`?",2,,`indexOf()` zwraca indeks pierwszego znalezionego elementu.
js_basic_015_indexof_not_found,traditional,"Co zwróci `[""a"", ""b"", ""c""].indexOf(""x"")`?",-1,,"Gdy element nie istnieje, `indexOf()` zwraca `-1`."
js_basic_016_join_dash,traditional,"Co zwróci `[""a"", ""b"", ""c""].join(""-"")`?","""a-b-c""",,"`join(""-"")` łączy elementy tablicy separatorem `-`."
js_basic_017_split_comma,traditional,"Co zwróci `""a,b,c"".split("","")`?","[""a"", ""b"", ""c""]",,"`split("","")` dzieli string według przecinków i zwraca tablicę."
js_basic_018_split_empty,traditional,"Co zwróci `""abc"".split("""")`?","[""a"", ""b"", ""c""]",,Pusty separator dzieli string na pojedyncze znaki.
js_basic_019_trim,traditional,"Co zwróci `""  hello  "".trim()`?","""hello""",,`trim()` usuwa białe znaki z początku i końca stringa.
js_basic_020_touppercase,traditional,"Co zwróci `""abc"".toUpperCase()`?","""ABC""",,`toUpperCase()` zwraca nowy string zapisany wielkimi literami.
js_basic_021_tolowercase,traditional,"Co zwróci `""ABC"".toLowerCase()`?","""abc""",,`toLowerCase()` zwraca nowy string zapisany małymi literami.
js_basic_022_startswith,traditional,"Co zwróci `""JavaScript"".startsWith(""Java"")`?",true,,`startsWith()` sprawdza początek stringa.
js_basic_023_endswith,traditional,"Co zwróci `""JavaScript"".endsWith(""Script"")`?",true,,`endsWith()` sprawdza koniec stringa.
js_basic_024_string_includes,traditional,"Co zwróci `""JavaScript"".includes(""Script"")`?",true,,"`includes()` dla stringa sprawdza, czy fragment tekstu występuje w stringu."
js_basic_025_char_at_index,traditional,"Co zwróci `""abc""[0]`?","""a""",,String można odczytywać po indeksie podobnie jak tablicę.
js_basic_026_number_add,traditional,Co zwróci `2 + 3`?,5,,Dwa typy `number` są dodawane matematycznie.
js_basic_027_string_concat,traditional,"Co zwróci `""2"" + 3`?","""23""",,Operator `+` ze stringiem wykonuje konkatenację.
js_basic_028_subtract_string_number,traditional,"Co zwróci `""5"" - 2`?",3,,Przy odejmowaniu JavaScript próbuje zamienić string na liczbę.
js_basic_029_multiply_string_number,traditional,"Co zwróci `""4"" * 2`?",8,,Przy mnożeniu JavaScript próbuje zamienić string na liczbę.
js_basic_030_nan_example,traditional,"Co zwróci `Number(""abc"")`?",NaN,,"`Number(""abc"")` nie może zamienić tekstu na poprawną liczbę."
js_basic_031_parseint,traditional,"Co zwróci `parseInt(""42px"")`?",42,,`parseInt()` czyta liczbę od początku stringa do pierwszego niepasującego znaku.
js_basic_032_parsefloat,traditional,"Co zwróci `parseFloat(""3.14px"")`?",3.14,,`parseFloat()` odczytuje liczbę zmiennoprzecinkową z początku stringa.
js_basic_033_boolean_zero,traditional,Co zwróci `Boolean(0)`?,false,,`0` jest wartością falsy.
js_basic_034_boolean_empty_string,traditional,"Co zwróci `Boolean("""")`?",false,,Pusty string jest wartością falsy.
js_basic_035_boolean_nonempty_string,traditional,"Co zwróci `Boolean(""false"")`?",true,,"Niepusty string jest truthy, nawet jeżeli zawiera tekst `false`."
js_basic_036_strict_equal_false,traditional,"Co zwróci `2 === ""2""`?",false,,`===` porównuje wartość i typ.
js_basic_037_loose_equal_true,traditional,"Co zwróci `2 == ""2""`?",true,,`==` może wykonać konwersję typu przed porównaniem.
js_basic_038_not_equal,traditional,"Co zwróci `2 !== ""2""`?",true,,"`!==` sprawdza, czy wartość lub typ są różne."
js_basic_039_and_operator,traditional,Co zwróci `true && false`?,false,,"`&&` zwraca prawdę tylko wtedy, gdy obie strony są prawdziwe."
js_basic_040_or_operator,traditional,Co zwróci `true || false`?,true,,"`||` zwraca prawdę, gdy przynajmniej jedna strona jest prawdziwa."
js_basic_041_not_operator,traditional,Co zwróci `!true`?,false,,`!` odwraca wartość logiczną.
js_basic_042_nullish,traditional,"Co zwróci `null ?? ""brak""`?","""brak""",,`??` zwraca prawą stronę tylko dla `null` albo `undefined`.
js_basic_043_nullish_zero,traditional,"Co zwróci `0 ?? ""brak""`?",0,,"`0` nie jest `null` ani `undefined`, więc zostaje zwrócone."
js_basic_044_or_zero,traditional,"Co zwróci `0 || ""brak""`?","""brak""",,`||` traktuje `0` jako falsy i wybiera prawą stronę.
js_basic_045_ternary,traditional,"Co zwróci `5 > 3 ? ""tak"" : ""nie""`?","""tak""",,"Operator trójargumentowy wybiera pierwszą wartość, gdy warunek jest prawdziwy."
js_basic_046_map_numbers,traditional,"Co zwróci `[1, 2, 3].map(n => n * 2)`?","[2, 4, 6]",,`map()` tworzy nową tablicę z wynikiem działania funkcji dla każdego elementu.
js_basic_047_filter_numbers,traditional,"Co zwróci `[1, 2, 3, 4].filter(n => n > 2)`?","[3, 4]",,`filter()` zostawia elementy spełniające warunek.
