external_id,front_text,tf_answer,explanation
0001,Zeus był królem bogów olimpijskich.,true,Zeus był najważniejszym bogiem olimpijskim i władcą nieba oraz piorunów.
0002,Hera była boginią małżeństwa.,true,"Hera opiekowała się małżeństwem, rodziną i kobietami zamężnymi."
0003,Posejdon władał morzami.,true,"Posejdon był bogiem mórz, trzęsień ziemi i koni."
0004,Atena narodziła się z głowy Zeusa.,true,Według mitu Atena wyskoczyła z głowy Zeusa już jako w pełni ukształtowana bogini.
0005,Hermes był posłańcem bogów.,true,Hermes przekazywał wiadomości bogów i opiekował się podróżnymi oraz kupcami.
0006,Dionizos był bogiem wina.,true,"Dionizos był związany z winem, ucztami, teatrem i religijnym uniesieniem."
0007,Demeter była matką Persefony.,true,"Demeter, bogini urodzaju, była matką Persefony porwanej przez Hadesa."
0008,Cerber strzegł wejścia do Hadesu.,true,"Cerber, trzygłowy pies, pilnował świata zmarłych."
0009,Tezeusz zabił Minotaura.,true,Tezeusz pokonał Minotaura w labiryncie na Krecie.
0010,Dedal był ojcem Ikara.,true,Dedal był genialnym rzemieślnikiem i ojcem Ikara.
0011,Perseusz zabił Meduzę.,true,"Perseusz ściął głowę Meduzie, jednej z Gorgon."
0012,Herakles wykonał dwanaście prac.,true,Dwanaście prac Heraklesa to jeden z najsłynniejszych cykli mitologii greckiej.
0013,Odyseusz był królem Itaki.,true,Odyseusz rządził Itaką i po wojnie trojańskiej długo wracał do domu.
0014,Charon przewoził dusze przez Styks.,true,Charon był przewoźnikiem dusz do świata zmarłych.
0015,Prometeusz ukradł ogień dla ludzi.,true,"Prometeusz dał ludziom ogień, za co został surowo ukarany przez Zeusa."
0016,Orfeusz próbował odzyskać Eurydykę z podziemi.,true,"Orfeusz zszedł do świata zmarłych, aby odzyskać ukochaną Eurydykę."
0017,Pegaz był skrzydlatym koniem.,true,Pegaz to mityczny skrzydlaty koń związany m.in. z Perseuszem i Muzami.
0018,Eros był bogiem miłości.,true,Eros uosabiał miłość i pożądanie.
0019,Nike była boginią zwycięstwa.,true,Nike symbolizowała zwycięstwo w wojnie i zawodach.
0020,Helios był związany ze słońcem.,true,Helios był personifikacją słońca i przemierzał niebo słonecznym rydwanem.
