external_id,front_text,back_text
fr_basic_0001,cześć,salut
fr_basic_0002,dzień dobry,bonjour
fr_basic_0003,dobry wieczór,bonsoir
fr_basic_0004,dobranoc,bonne nuit
fr_basic_0005,do widzenia,au revoir
fr_basic_0006,do zobaczenia,à bientôt
fr_basic_0007,na razie,à plus
fr_basic_0008,proszę,s'il vous plaît
fr_basic_0009,dziękuję,merci
fr_basic_0010,przepraszam,pardon
fr_basic_0011,nie ma za co,de rien
fr_basic_0012,nic się nie stało,ce n'est pas grave
fr_basic_0013,poproszę,je voudrais
fr_basic_0014,czy mogę?,je peux ?
fr_basic_0015,bardzo mi miło,enchanté
fr_basic_0016,tak,oui
fr_basic_0017,nie,non
fr_basic_0018,może,peut-être
fr_basic_0019,dobrze,bien
fr_basic_0020,źle,mal
fr_basic_0021,oczywiście,bien sûr
fr_basic_0022,nie wiem,je ne sais pas
fr_basic_0023,rozumiem,je comprends
fr_basic_0024,nie rozumiem,je ne comprends pas
fr_basic_0025,OK,d'accord
fr_basic_0026,Mam na imię X,je m'appelle X
fr_basic_0027,Jestem X,je suis X
fr_basic_0028,Miło cię poznać,ravi de te rencontrer
fr_basic_0029,Skąd jesteś?,tu viens d'où ?
fr_basic_0030,Jestem z X,je viens de X
fr_basic_0031,Ile masz lat?,quel âge as-tu ?
fr_basic_0032,Mam X lat,j'ai X ans
fr_basic_0033,kto?,qui ?
fr_basic_0034,co?,quoi ?
fr_basic_0035,gdzie?,où ?
fr_basic_0036,kiedy?,quand ?
fr_basic_0037,dlaczego?,pourquoi ?
fr_basic_0038,jak?,comment ?
fr_basic_0039,ile?,combien ?
fr_basic_0040,który?,lequel ?
fr_basic_0041,czy?,est-ce que ?
fr_basic_0042,jaki?,quel ?
fr_basic_0043,ja,je
fr_basic_0044,ty,tu
fr_basic_0045,on,il
fr_basic_0046,ona,elle
fr_basic_0047,ono,ça
fr_basic_0048,my,nous
fr_basic_0049,wy,vous
fr_basic_0050,oni i one,ils et elles
fr_basic_0051,mój,mon
fr_basic_0052,twój,ton
fr_basic_0053,jego,à lui
fr_basic_0054,jej,à elle
fr_basic_0055,nasz,notre
fr_basic_0056,wasz,votre
fr_basic_0057,być,être
fr_basic_0058,mieć,avoir
fr_basic_0059,robić,faire
fr_basic_0060,iść,aller
fr_basic_0061,przyjść,venir
fr_basic_0062,jechać,aller en voiture
fr_basic_0063,chcieć,vouloir
fr_basic_0064,lubić,aimer
fr_basic_0065,wiedzieć,savoir
fr_basic_0066,znać,connaître
fr_basic_0067,mówić,parler
fr_basic_0068,rozumieć,comprendre
fr_basic_0069,jeść,manger
fr_basic_0070,pić,boire
fr_basic_0071,spać,dormir
fr_basic_0072,mieszkać,habiter
fr_basic_0073,pracować,travailler
fr_basic_0074,uczyć się,apprendre
fr_basic_0075,kupić,acheter
fr_basic_0076,dać,donner
fr_basic_0077,widzieć,voir
fr_basic_0078,słyszeć,entendre
fr_basic_0079,otworzyć,ouvrir
fr_basic_0080,zamknąć,fermer
fr_basic_0081,zero,zéro
fr_basic_0082,jeden,un
fr_basic_0083,dwa,deux
fr_basic_0084,trzy,trois
fr_basic_0085,cztery,quatre
fr_basic_0086,pięć,cinq
fr_basic_0087,sześć,six
fr_basic_0088,siedem,sept
fr_basic_0089,osiem,huit
fr_basic_0090,dziewięć,neuf
fr_basic_0091,dziesięć,dix
fr_basic_0092,jedenaście,onze
fr_basic_0093,dwanaście,douze
fr_basic_0094,dwadzieścia,vingt
fr_basic_0095,trzydzieści,trente
fr_basic_0096,sto,cent
fr_basic_0097,tysiąc,mille
fr_basic_0098,pierwszy,premier
fr_basic_0099,drugi,deuxième
fr_basic_0100,trzeci,troisième
fr_basic_0101,połowa,la moitié
fr_basic_0102,dużo,beaucoup
fr_basic_0103,mało,peu
fr_basic_0104,kilka,quelques
fr_basic_0105,biały,blanc
fr_basic_0106,czarny,noir
fr_basic_0107,czerwony,rouge
fr_basic_0108,niebieski,bleu
fr_basic_0109,zielony,vert
fr_basic_0110,żółty,jaune
fr_basic_0111,pomarańczowy,orange
fr_basic_0112,różowy,rose
fr_basic_0113,fioletowy,violet
fr_basic_0114,brązowy,marron
fr_basic_0115,szary,gris
fr_basic_0116,jasny,clair
fr_basic_0117,ciemny,foncé
fr_basic_0118,poniedziałek,lundi
fr_basic_0119,wtorek,mardi
fr_basic_0120,środa,mercredi
fr_basic_0121,czwartek,jeudi
fr_basic_0122,piątek,vendredi
fr_basic_0123,sobota,samedi
fr_basic_0124,niedziela,dimanche
fr_basic_0125,dzisiaj,aujourd'hui
fr_basic_0126,jutro,demain
fr_basic_0127,wczoraj,hier
fr_basic_0128,rano,le matin
fr_basic_0129,wieczorem,le soir
fr_basic_0130,teraz,maintenant
fr_basic_0131,później,plus tard
fr_basic_0132,wcześniej,plus tôt
fr_basic_0133,godzina,l'heure
fr_basic_0134,minuta,la minute
fr_basic_0135,tydzień,la semaine
fr_basic_0136,miesiąc,le mois
fr_basic_0137,rok,l'année
fr_basic_0138,dom,la maison
fr_basic_0139,szkoła,l'école
fr_basic_0140,praca,le travail
