external_id,front_text,back_text
5001,bal,ball
5002,drogue,dope
5003,remarques,remarks
5004,crie; crié,calls out
5005,laver; lave,wash
5006,disparaît,disappears
5007,fantôme,phantom
5008,crains,fear
5009,originaire,native
5010,immenses,huge
5011,appareils,devices
5012,levée,lifting
5013,pacifique,peaceful
5014,esclavage,slavery
5015,panneau,sign
5016,essayait,was trying
5017,dramatique,dramatic
5018,équipement; équipements,equipment
5019,prouve,proves
5020,genou,knee
5021,indien; indienne,Indian
5023,shirt,shirt
5024,festival,festival
5025,conclu,concluded
5027,disposent,have
5028,universités,universities
5029,pilote,pilot
5030,stable,steady
5031,alternative,alternative
5032,rochers,rocks
5034,insertion,insertion
5035,terminée,completed
5036,acceptation,acceptance
5037,emporte,win
5038,scandale,scandal
5039,socio,social
5040,prévenu,warned
5042,incapacité,inability
5043,grotte,cave
5044,censé; censée; censés,supposed
5045,zéro,zero
5046,rez,ground floor
5048,dommages,damage
5049,initiatives,initiatives
5050,maigre,lean
5051,noix,nut
5053,préjudice,harm
5054,appartements,apartments
5055,genres,genres
5057,colonie,colony
5058,conjoint,joint
5060,considérablement,considerably
5061,comble,fills
5062,persuadé,persuaded
5063,considérations,considerations
5064,coude,elbow
5066,privilège,privilege
5069,échappa; échappé,escaped
5070,bâton,stick
5074,consacrer; consacre,devote
5075,assurée,assured
5076,opportunité,opportunity
5077,étranges,strange
5079,hésita; hésité,hesitated
5080,romantique,romantic
5081,indépendant; indépendante; indépendants; indépendantes,independent
5082,Turquie,turkey
5083,symboles,symbols
5084,promesses,promises
5085,bandes,bands
5086,bol,bowl
5087,capitalisme,capitalism
5088,achats,purchases
5089,consciente,conscious
5090,avocats,lawyers
5091,mineurs,minors
5092,éprouver,experience
5093,poings,fists
5095,disque,disk
5096,compétition,competition
5097,occasions,occasions
5098,agisse; agissent,act
5100,tombait,was falling
5101,évolutions,developments
5102,Provence,Provence
5104,croyant,believer
5105,délicat; délicate,delicate
5106,exécuter,execute
5107,bouteilles,bottles
5108,infraction,offense
5109,inscrire,to register
5110,camarade,comrade
5111,déroule,unfolds
5112,compliqué; compliquée,complicated
5113,orchestre,orchestra
5114,adolescence,adolescence
5115,poignet,wrist
5116,variation,variation
5117,camping,camping
5119,dons,donations
5120,désigna; désigné; désignés,designated
5121,porteur,carrier
5122,spectateur,spectator
5124,assumer,to assume
5125,appartenait,belonged
5126,supra,above
5127,aperçoit,perceives
5128,insupportable,insupportable
5129,considérant,considering
5130,détente,relaxation
5131,salade,salad
5132,promouvoir,promote
5134,clin,blink
5135,coton,cotton
5136,héritier,heir
5137,bancaire; bancaires,banking
5138,applicable; applicables,applicable
5139,atlantique,Atlantic
5142,paille,straw
5144,baisers,kisses
5145,fondre,to melt
5146,pro,pro
5147,ennui,boredom
5148,permission,permission
5149,marcha; marchait,walked
5150,assisté,assisted
5151,frisson,thrill
5152,chaises,chairs
5153,interpréter,interpret
5154,optique,optical
5156,vêtu; vêtue,dressed
5157,attire; attira; attiré,attracted
5160,descente,descent
5161,attendaient,were waiting
5163,referma,closed
5164,regrette,regret
5167,sublime,gorgeous
5168,boutiques,shops
5169,transformé; transformée,transformed
5170,Sénégal,Senegal
5171,rires,laughter
5173,centaine,hundred
5175,repartir,divide
5176,corpus,corpus
5178,attentif,attentive
5180,chœur,choir
5181,déclarer,to declare
5182,conseillers,advisers
5183,ondes,waves
5184,portière,door
5185,coins,corners
5186,soirs,evenings
5187,passagers,passengers
5188,dissimuler,hide
5189,justifie,justifies
5190,génétique,genetic
5191,déficit,deficit
5192,généreux; généreuse,generous
5193,appellent,are calling
5194,déclarations,statements
5195,onde,wave
5196,aile,wing
5197,personnalités,personalities
5198,plages,beaches
5199,neveu,nephew
5200,per,per
5202,flèche,arrow
5203,familier; familière; familiers,familiar
5204,partiellement,partially
5205,déroulement,progress
5206,donnaient,were giving
5207,refusa; refusait,refused
5208,bibliographie,bibliography
5209,éloigné; éloignée; éloignés; éloigne,distant
5210,craint,fears
5211,anxiété,anxiety
5212,précautions,precautions
5213,statuts,statutes
5214,sols,floors
5215,antérieure,anterior
5216,joueur,player
5217,absent; absente,absent
5218,cession,assignment
5220,sonore,sound
5222,paisible,peaceful
5223,adapté; adaptée; adaptés; adaptées,adapted
5225,terrains,land
5226,chevelure,hair
5227,accidents,accidents
5228,répression,repression
5229,tribu,tribe
5231,réplique,replica
5232,ouvrait,was opening
5233,appétit,appetite
5234,ingénieur,engineer
5235,cardiaque,cardiac
5236,territoriale; territoriales,territorial
5237,flot,flow
5238,disaient,were saying
5239,phases,stages
5240,recrutement,recruitment
5241,pile,pile
5242,chroniques,chronicles
5243,conducteur,driver
5245,infiniment,infinitely
5247,plaindre,complain
5248,mondialisation,globalization
5250,nier,deny
5251,courante,current
5252,trouvant,finding
5253,supprimer,to delete
5255,chercheur,searcher
5256,promener,to walk
5257,communistes,communists
5258,balles,balls
5260,relief,relief
5261,cauchemar,nightmare
5264,masculin,male
5265,avère,recognized
5266,couvent,convent
5267,semi,semi
5268,Méditerranée,Mediterranean
5269,assurément,certainly
5270,remet,hand over
5271,confortable; confortables,comfortable
5272,armé; armés,armed
5274,rouler,to roll
5275,contenter,content
5276,nationalité,nationality
5277,terriblement,terribly
5278,venons,let's come
5279,élite,elite
5281,carton,cardboard
5283,laine,oldest boy
5284,juridictions,jurisdictions
5285,assassin,assassin
5288,éliminer,eliminate
5289,matériels,materials
5291,directive,guideline
5292,lent; lente,slow
5293,diplôme,diploma
5294,recette,recipe
5295,business,business
5296,participé,participated
5297,altitude,altitude
5298,format,format
5299,falloir,to need
5300,serviteur; servante,servant
5301,sympathie,sympathy
5303,obligée; obligés,obliged
5304,passaient,were passing
5306,trous,holes
5307,pavillon,flag
5309,peutêtre,maybe
5310,confirmer,to confirm
5311,rural; rurale; rurales,rural
5312,durer; durent,last
5314,régulier; régulière; réguliers; régulières,regular
5315,constaté,observed
5316,dragon; dragons,dragon
5317,inégalité; inégalités,inequality
5318,gardait,guarded
5320,studio,studio
5321,bagages,luggage
5322,guerriers,warriors
5323,mètre,metre
5324,permettrait,would allow
5325,silencieuse,silent
5326,sanctions,sanctions
5327,relèvent,fall within
5328,dominant; dominante,dominant
5329,désignant,designating
5330,simultanément,simultaneously
5331,tirant,pulling
5332,chants,songs
5333,prudent,careful
5334,habits,clothes
5335,étendait; étendu,extended
5337,brève,brief
5338,exposer,expose
5339,voyageur,traveler
5340,ravi; ravie,delighted
5343,fondements,foundations
5344,énergétique,energy
5346,parvenait,managed
5347,teint,complexion
5348,anonyme; anonymes,anonymous
5349,comprennent,include
5351,céleste,celestial
5352,réservée; réservés,reserved
5353,dormait,was sleeping
5354,guérison,healing
5355,noyau,core
5356,séparait; séparés; séparée; séparées,separated
5357,écarta,pushed aside
5358,mail,email
5359,démarches,procedures
5360,emprise,hold
5361,fraîcheur,freshness
5363,transformations,transformations
5365,rétorqua,retorted
5367,souffert; souffrait,suffered
5369,valoir,to be worth
5370,Mexique,Mexico
5371,trahison,treason
5374,croisés,crusaders
5375,brièvement,briefly
5376,notaire,notary
5377,équipage,crew
5379,clôture,fencing
5380,rappel,reminder
5381,lisait,was reading
5383,ongles,nails
5384,subitement,suddenly
5385,lèvre,lip
5389,orage,thunderstorm
5390,éprouvait,was experiencing
5391,jouant,playing
5392,fax,fax
5393,parlementaire,parliamentary
5394,moines,monks
5395,olive,olive
5396,fourni; fournis; fournie,provided
5397,pique,spade
5399,débuts,beginnings
5400,modifie; modifié,amended
5401,merveille,wonder
5402,mairie,city hall
5403,contempler,contemplate
5404,réparer,to fix
5407,consulté,consulted
