front,back,lock,answer_only
Jak nazywa się standard języka JavaScript?,ECMAScript,yes,yes
Jak nazywa się środowisko uruchomieniowe JS poza przeglądarką?,Node.js,yes,yes
Jak wypisać wartość do konsoli?,console.log;console.log(),yes,yes
Jak wygląda komentarz jednowierszowy?,//,yes,yes
Jak wygląda komentarz blokowy?,/* */;/*...*/,yes,yes
Jak włączyć tryb ścisły?,"'use strict';""use strict"";use strict",yes,yes
Jak zadeklarować zmienną o zasięgu blokowym?,let,yes,yes
Jak zadeklarować stałą o zasięgu blokowym?,const,yes,yes
Które słowo kluczowe deklaruje zmienną o zasięgu funkcji?,var,yes,yes
Jaka wartość oznacza brak przypisania?,undefined,yes,yes
Jaka wartość oznacza celowy brak obiektu?,null,yes,yes
Jaki typ przechowuje true i false?,boolean,yes,yes
Jaki typ przechowuje tekst?,string,yes,yes
Jaki typ przechowuje liczby?,number,yes,yes
Jak sprawdzić typ wartości w runtime?,typeof,yes,yes
Co oznacza skrót NaN w JavaScript?,Not-a-Number;Not a Number,yes,yes
Jak poprawnie sprawdzić czy wartość jest NaN?,Number.isNaN;Number.isNaN(),yes,yes
Jaki operator porównania jest ścisły bez konwersji typów?,===,yes,yes
Jaki operator porównania może konwertować typy?,==,yes,yes
Jaki operator oznacza nierówność ścisłą?,!==,yes,yes
Jaki operator logiczny oznacza AND?,&&,yes,yes
Jaki operator logiczny oznacza OR?,||,yes,yes
Jaki operator logiczny neguje wartość?,!,yes,yes
Jaki operator zwraca prawą wartość gdy lewa jest null lub undefined?,??,yes,yes
Jaki operator bezpiecznie odczytuje pole gdy coś może być null?,?.,yes,yes
Jaki operator wybiera jedną z dwóch wartości na podstawie warunku?,?:,yes,yes
Jaki operator łączy napisy?,+,yes,yes
Jak nazywają się napisy w backtickach?,template literal;template literals,yes,yes
Jaki zapis wstawia wyrażenie do template literal?,${...};${expression},yes,yes
Jaka właściwość podaje długość napisu?,length,yes,yes
Jaka metoda sprawdza czy napis zawiera fragment?,includes;includes(),yes,yes
Jaka metoda usuwa białe znaki z początku i końca?,trim;trim(),yes,yes
Jaka metoda wycina fragment napisu bez mutacji?,slice;slice(),yes,yes
Jak sparsować liczbę całkowitą z tekstu?,parseInt;parseInt(),yes,yes
Jak przekonwertować wartość na liczbę?,Number;Number(),yes,yes
Jak przekonwertować wartość na napis?,String;String(),yes,yes
Jak przekonwertować wartość na boolean?,Boolean;Boolean(),yes,yes
Jak zaokrąglić liczbę w dół?,Math.floor;Math.floor(),yes,yes
Jaka instrukcja warunkowa zaczyna się od if?,if,yes,yes
Jak dodać gałąź dla warunku false?,else,yes,yes
Jaka instrukcja wybiera przypadek na podstawie wartości?,switch,yes,yes
Jaka pętla z licznikiem jest najczęściej używana?,for,yes,yes
Jaka pętla działa dopóki warunek jest true?,while,yes,yes
Jaka pętla iteruje po wartościach tablicy lub stringa?,for...of;for of,yes,yes
Jak przerwać pętlę lub switch?,break,yes,yes
Jak pominąć bieżącą iterację pętli?,continue,yes,yes
Jakie słowo kluczowe deklaruje funkcję?,function,yes,yes
Jak zwrócić wartość z funkcji?,return,yes,yes
Jaki operator występuje w funkcji strzałkowej?,=>,yes,yes
Jak nazywa się przenoszenie deklaracji na początek zakresu?,hoisting,yes,yes
Jak nazywa się zasięg zmiennych w kodzie?,scope,yes,yes
Jak nazywa się funkcja która pamięta zmienne z zewnętrznego zakresu?,closure,yes,yes
Jak odczytać wszystkie argumenty w funkcji klasycznej?,arguments,yes,yes
Jak nazywa się parametr z wartością domyślną?,default parameter,yes,yes
Jaki zapis zbiera pozostałe argumenty do tablicy?,...args;rest parameter;...rest,yes,yes
Jaki operator rozwija tablicę lub obiekt?,...;spread operator,yes,yes
Jak nazywa się rozpakowanie obiektu lub tablicy do zmiennych?,destructuring,yes,yes
Jakie słowo kluczowe wskazuje kontekst wywołania?,this,yes,yes
Jak utworzyć nową funkcję z this ustawionym na stałe?,bind;bind(),yes,yes
Jak wywołać funkcję z ustawionym this?,call;call(),yes,yes
Jak utworzyć tablicę literałem?,[],yes,yes
Jak dodać element na koniec tablicy?,push;push(),yes,yes
Jak usunąć ostatni element tablicy?,pop;pop(),yes,yes
Jaka metoda tworzy nową tablicę mapując elementy?,map;map(),yes,yes
Jaka metoda filtruje elementy tablicy?,filter;filter(),yes,yes
Jaka metoda redukuje tablicę do jednej wartości?,reduce;reduce(),yes,yes
Jaka metoda znajduje pierwszy element spełniający warunek?,find;find(),yes,yes
Jak utworzyć obiekt literałem?,{},yes,yes
Jak odwołać się do właściwości obiektu przez kropkę? (składnia),obj.prop,yes,yes
Jak odwołać się do właściwości obiektu przez nawiasy? (składnia),obj[prop],yes,yes
Jaka metoda zwraca tablicę kluczy obiektu?,Object.keys;Object.keys(),yes,yes
Jaka metoda zwraca tablicę par klucz wartość obiektu?,Object.entries;Object.entries(),yes,yes
Jak zamienić obiekt na tekst JSON?,JSON.stringify;JSON.stringify(),yes,yes
Jak zamienić tekst JSON na obiekt?,JSON.parse;JSON.parse(),yes,yes
Jak zadeklarować klasę w JS?,class,yes,yes
Jak nazywa się metoda uruchamiana przy tworzeniu instancji?,constructor,yes,yes
